anchor_id,comparison,order_exposure,administration_exposure,patients_n,outcomes_n,outcome_pct
A1,metadata_constrained_broad,0,0,7546,892.0,11.820832228995494
A1,metadata_constrained_broad,0,1,5655,420.0,7.427055702917771
A1,metadata_constrained_broad,1,0,519,125.0,24.084778420038536
A1,metadata_constrained_broad,1,1,6528,1093.0,16.743259803921568
A1,original_broad,0,0,7385,874.0,11.834800270819228
A1,original_broad,0,1,5816,438.0,7.530949105914718
A1,original_broad,1,0,501,121.0,24.151696606786427
A1,original_broad,1,1,6546,1097.0,16.758325695080966
A1,original_strict,0,0,13201,1312.0,9.938641012044542
A1,original_strict,1,0,1509,205.0,13.58515573227303
A1,original_strict,1,1,5538,1013.0,18.291802094618998
A2,hospital_overlap_broad,0,0,1837,702.0,38.21448013064779
A2,hospital_overlap_broad,0,1,200,58.0,29.0
A2,hospital_overlap_broad,1,0,106,65.0,61.32075471698113
A2,hospital_overlap_broad,1,1,670,344.0,51.34328358208955
A2,hospital_overlap_strict,0,0,2037,760.0,37.30976926853216
A2,hospital_overlap_strict,1,0,255,102.0,40.0
A2,hospital_overlap_strict,1,1,521,307.0,58.92514395393474
A2,original_broad,0,0,1862,714.0,38.34586466165413
A2,original_broad,0,1,296,81.0,27.364864864864863
A2,original_broad,1,0,81,53.0,65.4320987654321
A2,original_broad,1,1,574,321.0,55.92334494773519
A2,original_strict,0,0,2158,795.0,36.83966635773865
A2,original_strict,1,0,137,69.0,50.36496350364964
A2,original_strict,1,1,518,305.0,58.88030888030889
