medication_class,hospital_id,unit_type,eligible_orders_n,converted_orders_n,conversion_pct,cell_suppression_threshold,suppressed_hospital_unit_cells_n
stress_ulcer_prophylaxis,102,Med-Surg ICU,11,0,0.0,10,
stress_ulcer_prophylaxis,108,Med-Surg ICU,122,0,0.0,10,
stress_ulcer_prophylaxis,110,CCU-CTICU,410,0,0.0,10,
stress_ulcer_prophylaxis,110,Med-Surg ICU,600,0,0.0,10,
stress_ulcer_prophylaxis,115,Med-Surg ICU,27,0,0.0,10,
stress_ulcer_prophylaxis,122,CTICU,355,0,0.0,10,
stress_ulcer_prophylaxis,122,Cardiac ICU,575,0,0.0,10,
stress_ulcer_prophylaxis,122,Med-Surg ICU,1043,0,0.0,10,
stress_ulcer_prophylaxis,125,Med-Surg ICU,66,0,0.0,10,
stress_ulcer_prophylaxis,131,Med-Surg ICU,67,0,0.0,10,
stress_ulcer_prophylaxis,140,Med-Surg ICU,931,36,3.86681,10,
stress_ulcer_prophylaxis,141,Cardiac ICU,851,10,1.175088,10,
stress_ulcer_prophylaxis,141,Med-Surg ICU,1126,43,3.818828,10,
stress_ulcer_prophylaxis,142,CTICU,852,16,1.877934,10,
stress_ulcer_prophylaxis,142,Med-Surg ICU,1240,30,2.419355,10,
stress_ulcer_prophylaxis,142,Neuro ICU,494,3,0.607287,10,
stress_ulcer_prophylaxis,143,Med-Surg ICU,823,17,2.065614,10,
stress_ulcer_prophylaxis,144,Med-Surg ICU,1191,46,3.862301,10,
stress_ulcer_prophylaxis,146,Med-Surg ICU,1258,55,4.372019,10,
stress_ulcer_prophylaxis,148,CSICU,1165,36,3.090129,10,
stress_ulcer_prophylaxis,148,MICU,1299,107,8.237105,10,
stress_ulcer_prophylaxis,148,Med-Surg ICU,53,6,11.320755,10,
stress_ulcer_prophylaxis,151,Med-Surg ICU,11,0,0.0,10,
stress_ulcer_prophylaxis,152,CSICU,1492,15,1.005362,10,
stress_ulcer_prophylaxis,154,Med-Surg ICU,1507,112,7.431984,10,
stress_ulcer_prophylaxis,155,Med-Surg ICU,586,31,5.290102,10,
stress_ulcer_prophylaxis,156,Med-Surg ICU,16,0,0.0,10,
stress_ulcer_prophylaxis,157,Med-Surg ICU,1675,107,6.38806,10,
stress_ulcer_prophylaxis,158,Med-Surg ICU,315,19,6.031746,10,
stress_ulcer_prophylaxis,164,Med-Surg ICU,173,10,5.780347,10,
stress_ulcer_prophylaxis,165,CSICU,684,3,0.438596,10,
stress_ulcer_prophylaxis,165,Med-Surg ICU,2115,64,3.026005,10,
stress_ulcer_prophylaxis,167,CSICU,1513,29,1.916722,10,
stress_ulcer_prophylaxis,167,Med-Surg ICU,2191,189,8.626198,10,
stress_ulcer_prophylaxis,167,Neuro ICU,1175,21,1.787234,10,
stress_ulcer_prophylaxis,171,Med-Surg ICU,1590,126,7.924528,10,
stress_ulcer_prophylaxis,174,Med-Surg ICU,85,4,4.705882,10,
stress_ulcer_prophylaxis,175,Med-Surg ICU,512,34,6.640625,10,
stress_ulcer_prophylaxis,176,CSICU,1781,73,4.098821,10,
stress_ulcer_prophylaxis,176,Med-Surg ICU,1820,49,2.692308,10,
stress_ulcer_prophylaxis,179,MICU,24,0,0.0,10,
stress_ulcer_prophylaxis,180,Med-Surg ICU,937,189,20.170758,10,
stress_ulcer_prophylaxis,181,Cardiac ICU,817,39,4.773562,10,
