source,medication_class,dimension,units_n,available_n,available_pct,class_mapped_but_unresolved_numeric_n
medication,stress_ulcer_prophylaxis,start_offset,181578,181578,100.0,
medication,stress_ulcer_prophylaxis,stop_offset,181578,181578,100.0,
medication,stress_ulcer_prophylaxis,valid_interval,181578,167806,92.415381,
medication,stress_ulcer_prophylaxis,route,181578,181576,99.998899,
medication,stress_ulcer_prophylaxis,dose,181578,181002,99.682781,
medication,stress_ulcer_prophylaxis,frequency,181578,168932,93.0355,
medication,vte_prophylaxis,start_offset,144613,144613,100.0,
medication,vte_prophylaxis,stop_offset,144613,144613,100.0,
medication,vte_prophylaxis,valid_interval,144613,134102,92.731635,
medication,vte_prophylaxis,route,144613,144612,99.999308,
medication,vte_prophylaxis,dose,144613,111897,77.376861,
medication,vte_prophylaxis,frequency,144613,131022,90.601813,
medication,intra_abdominal_antibiotics,start_offset,94956,94956,100.0,
medication,intra_abdominal_antibiotics,stop_offset,94956,94956,100.0,
medication,intra_abdominal_antibiotics,valid_interval,94956,88816,93.533847,
medication,intra_abdominal_antibiotics,route,94956,94956,100.0,
medication,intra_abdominal_antibiotics,dose,94956,93534,98.502464,
medication,intra_abdominal_antibiotics,frequency,94956,88581,93.286364,
medication,electrolyte_replacement,start_offset,484435,484435,100.0,
medication,electrolyte_replacement,stop_offset,484435,484435,100.0,
medication,electrolyte_replacement,valid_interval,484435,466293,96.255019,
medication,electrolyte_replacement,route,484435,484433,99.999587,
medication,electrolyte_replacement,dose,484435,469124,96.839411,
medication,electrolyte_replacement,frequency,484435,440501,90.930878,
medication,prokinetic,start_offset,24269,24269,100.0,
medication,prokinetic,stop_offset,24269,24269,100.0,
medication,prokinetic,valid_interval,24269,23388,96.369855,
medication,prokinetic,route,24269,24268,99.99588,
medication,prokinetic,dose,24269,24170,99.592072,
medication,prokinetic,frequency,24269,22109,91.099757,
medication,insulin,start_offset,228463,228463,100.0,
medication,insulin,stop_offset,228463,228463,100.0,
medication,insulin,valid_interval,228463,209918,91.882712,
medication,insulin,route,228463,228463,100.0,
medication,insulin,dose,228463,120580,52.778787,
medication,insulin,frequency,228463,197870,86.60921,
infusionDrug,stress_ulcer_prophylaxis,valid_offset,93948,93948,100.0,1057
infusionDrug,stress_ulcer_prophylaxis,positive_rate_or_value,93948,93948,100.0,1057
infusionDrug,stress_ulcer_prophylaxis,any_numeric_value_field,93948,93948,100.0,1057
infusionDrug,vte_prophylaxis,valid_offset,262228,262228,100.0,5220
infusionDrug,vte_prophylaxis,positive_rate_or_value,262228,262228,100.0,5220
infusionDrug,vte_prophylaxis,any_numeric_value_field,262228,262228,100.0,5220
infusionDrug,intra_abdominal_antibiotics,valid_offset,698,698,100.0,450
infusionDrug,intra_abdominal_antibiotics,positive_rate_or_value,698,698,100.0,450
infusionDrug,intra_abdominal_antibiotics,any_numeric_value_field,698,698,100.0,450
infusionDrug,electrolyte_replacement,valid_offset,23768,23768,100.0,1174
infusionDrug,electrolyte_replacement,positive_rate_or_value,23768,23768,100.0,1174
infusionDrug,electrolyte_replacement,any_numeric_value_field,23768,23768,100.0,1174
infusionDrug,prokinetic,valid_offset,21,21,100.0,0
infusionDrug,prokinetic,positive_rate_or_value,21,21,100.0,0
infusionDrug,prokinetic,any_numeric_value_field,21,21,100.0,0
infusionDrug,insulin,valid_offset,402138,402138,100.0,10438
infusionDrug,insulin,positive_rate_or_value,402138,402138,100.0,10438
infusionDrug,insulin,any_numeric_value_field,402138,402138,100.0,10438
