analysis_population,anchor_id,model_variant,effect_measure,beta_administration,beta_order,effect_administration,effect_order,ci_low_administration,ci_low_order,ci_high_administration,ci_high_order,n_administration,n_order,outcomes_n_administration,outcomes_n_order,exposed_n_administration,exposed_n_order,log_effect_change_admin_minus_order,absolute_log_effect_change,relative_absolute_log_effect_change_pct,ratio_of_effects_admin_to_order,direction_reversal,material_absolute_log_change,material_relative_log_change,material_effect_change
all_periods_corrected_era,A1,enriched,OR,0.751110376413673,0.760585188268065,2.11935198904457,2.13952788084769,1.95663511195361,2.00997230184253,2.29560065953354,2.27743414609663,49114,49114,6057,6057,6581,14965,-0.00947481185439225,0.00947481185439225,1.24572658007809,0.990569932748374,FALSE,FALSE,FALSE,FALSE
all_periods_corrected_era,A1,published_style_minimal,OR,0.763161860339791,0.887914098791209,2.14504785110752,2.43005550533008,1.99843840900167,2.29806733990109,2.30241285536519,2.56962433452414,49114,49114,6057,6057,6581,14965,-0.124752238451418,0.124752238451418,14.0500346397533,0.882715578472418,FALSE,FALSE,FALSE,FALSE
all_periods_corrected_era,A2,enriched,HR,0.0605290385417965,0.414042078714916,1.06239844762413,1.51292078730751,0.956195715335561,1.38969094225353,1.18039690349173,1.64707795026385,6625,6625,2591,2591,1103,1678,-0.353513040173119,0.353513040173119,85.3809451615006,0.70221683549926,FALSE,TRUE,TRUE,TRUE
all_periods_corrected_era,A2,landmark_48h_enriched,HR,0.242350920268081,0.524423018383042,1.27424127145571,1.6894837660287,1.13502649770677,1.53384650686738,1.43053120007471,1.86091332013661,6000,6000,2023,2023,1029,1452,-0.282072098114961,0.282072098114961,53.7871314239174,0.754219304782632,FALSE,TRUE,TRUE,TRUE
all_periods_corrected_era,A2,landmark_48h_minimal,HR,0.352454916535246,0.697364118197631,1.42255552057125,2.00845168286077,1.26865531137795,1.83111904322478,1.59512531966601,2.20295790014952,6000,6000,2023,2023,1029,1452,-0.344909201662384,0.344909201662384,49.4589831426684,0.708284661618053,FALSE,TRUE,TRUE,TRUE
all_periods_corrected_era,A2,published_style_minimal,HR,0.216646794975305,0.662017291789963,1.24190537744293,1.93869931452803,1.11905489340928,1.78713202978008,1.37824245763571,2.10312107304906,6625,6625,2591,2591,1103,1678,-0.445370496814658,0.445370496814658,67.27475284074,0.64058689665616,FALSE,TRUE,TRUE,TRUE
post_implementation,A1,enriched,OR,0.680454047808075,0.610957977427497,1.97477417058571,1.84219533528931,1.78566106730639,1.67090552730895,2.18391557962065,2.03104460299878,20248,20248,2530,2530,5538,7047,0.0694960703805779,0.0694960703805779,11.3749346024089,1.07196784877082,FALSE,FALSE,FALSE,FALSE
post_implementation,A1,published_style_minimal,OR,0.669384687099136,0.625053664475416,1.9530352230722,1.86834621856168,1.7878923178651,1.71460226771549,2.13343194354979,2.03587599185013,20248,20248,2530,2530,5538,7047,0.04433102262372,0.04433102262372,7.09235464780858,1.0453283249481,FALSE,FALSE,FALSE,FALSE
post_implementation,A2,enriched,HR,0.0258128311509362,0.403847608131462,1.02614886739573,1.49757571120704,0.906785658786708,1.31617335407827,1.16122425167866,1.70397995358892,2813,2813,1169,1169,870,655,-0.378034776980526,0.378034776980526,93.6082743512168,0.68520667083246,FALSE,TRUE,TRUE,TRUE
post_implementation,A2,landmark_48h_enriched,HR,0.23618559323809,0.514774679023217,1.26640932536503,1.67326143841726,1.10487106979347,1.44590869908973,1.45156536651041,1.93636281672337,2544,2544,916,916,814,571,-0.278589085785127,0.278589085785127,54.1186459119841,0.756850840095214,FALSE,TRUE,TRUE,TRUE
post_implementation,A2,landmark_48h_minimal,HR,0.352403801481984,0.687593995734269,1.42248280842841,1.98892441120673,1.24460042411247,1.7302198896497,1.62578872791024,2.28631073839692,2544,2544,916,916,814,571,-0.335190194252284,0.335190194252284,48.7482724299158,0.715202046097543,FALSE,TRUE,TRUE,TRUE
post_implementation,A2,published_style_minimal,HR,0.188799549799232,0.643879119956431,1.20779882469953,1.90385184331472,1.07032017781882,1.68300374185571,1.362936092561,2.15368020352484,2813,2813,1169,1169,870,655,-0.455079570157199,0.455079570157199,70.6777958862826,0.634397486832106,FALSE,TRUE,TRUE,TRUE
