analysis_population,anchor_id,model_variant,exposure_definition,effect_measure,n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error,model_warnings
all_periods_corrected_era,A1,published_style_minimal,order,OR,49114,6057,14965,0.887914098791209,0.0284931848417359,2.43005550533008,2.29806733990109,2.56962433452414,3.45255375719137e-213,TRUE,,""
all_periods_corrected_era,A1,published_style_minimal,administration,OR,49114,6057,6581,0.763161860339791,0.0361209597814076,2.14504785110752,1.99843840900167,2.30241285536519,4.40242785161289e-99,TRUE,,""
all_periods_corrected_era,A1,enriched,order,OR,49114,6057,14965,0.760585188268065,0.0318700991255876,2.13952788084769,2.00997230184253,2.27743414609663,7.04770170560216e-126,TRUE,,""
all_periods_corrected_era,A1,enriched,administration,OR,49114,6057,6581,0.751110376413673,0.0407579724789891,2.11935198904457,1.95663511195361,2.29560065953354,7.75319130816417e-76,TRUE,,""
all_periods_corrected_era,A2,published_style_minimal,order,HR,6625,2591,1678,0.662017291789963,0.0415340156774787,1.93869931452803,1.78713202978008,2.10312107304906,3.38882235657403e-57,TRUE,,""
all_periods_corrected_era,A2,published_style_minimal,administration,HR,6625,2591,1103,0.216646794975305,0.0531450128155237,1.24190537744293,1.11905489340928,1.37824245763571,4.57144022637588e-05,TRUE,,""
all_periods_corrected_era,A2,enriched,order,HR,6625,2591,1678,0.414042078714916,0.0433480924481248,1.51292078730751,1.38969094225353,1.64707795026385,1.27752888260201e-21,TRUE,,""
all_periods_corrected_era,A2,enriched,administration,HR,6625,2591,1103,0.0605290385417965,0.0537365498049299,1.06239844762413,0.956195715335561,1.18039690349173,0.259994759991741,TRUE,,""
all_periods_corrected_era,A2,landmark_48h_minimal,order,HR,6000,2023,1452,0.697364118197631,0.047162519277314,2.00845168286077,1.83111904322478,2.20295790014952,1.79276421403617e-49,TRUE,,""
all_periods_corrected_era,A2,landmark_48h_minimal,administration,HR,6000,2023,1029,0.352454916535246,0.0584181075987801,1.42255552057125,1.26865531137795,1.59512531966601,1.60628642548885e-09,TRUE,,""
all_periods_corrected_era,A2,landmark_48h_enriched,order,HR,6000,2023,1452,0.524423018383042,0.049309263802281,1.6894837660287,1.53384650686738,1.86091332013661,2.03983904663562e-26,TRUE,,""
all_periods_corrected_era,A2,landmark_48h_enriched,administration,HR,6000,2023,1029,0.242350920268081,0.059029106923731,1.27424127145571,1.13502649770677,1.43053120007471,4.03236666382341e-05,TRUE,,""
post_implementation,A1,published_style_minimal,order,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,TRUE,,""
post_implementation,A1,published_style_minimal,administration,OR,20248,2530,5538,0.669384687099136,0.0450759492347525,1.9530352230722,1.7878923178651,2.13343194354979,6.94113417210591e-50,TRUE,,""
post_implementation,A1,enriched,order,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,TRUE,,""
post_implementation,A1,enriched,administration,OR,20248,2530,5538,0.680454047808075,0.0513608189240652,1.97477417058571,1.78566106730639,2.18391557962065,4.60283205183958e-40,TRUE,,""
post_implementation,A2,published_style_minimal,order,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,TRUE,,""
post_implementation,A2,published_style_minimal,administration,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.00219723763548123,TRUE,,""
post_implementation,A2,enriched,order,HR,2813,1169,655,0.403847608131462,0.0658782798557435,1.49757571120704,1.31617335407827,1.70397995358892,8.77638377568816e-10,TRUE,,""
post_implementation,A2,enriched,administration,HR,2813,1169,870,0.0258128311509362,0.0630940199866366,1.02614886739573,0.906785658786708,1.16122425167866,0.682453859572456,TRUE,,""
post_implementation,A2,landmark_48h_minimal,order,HR,2544,916,571,0.687593995734269,0.0710959449035651,1.98892441120673,1.7302198896497,2.28631073839692,3.99065927014769e-22,TRUE,,""
post_implementation,A2,landmark_48h_minimal,administration,HR,2544,916,814,0.352403801481984,0.0681590420133875,1.42248280842841,1.24460042411247,1.62578872791024,2.33698183535927e-07,TRUE,,""
post_implementation,A2,landmark_48h_enriched,order,HR,2544,916,571,0.514774679023217,0.0745098883230606,1.67326143841726,1.44590869908973,1.93636281672337,4.88735202176905e-12,TRUE,,""
post_implementation,A2,landmark_48h_enriched,administration,HR,2544,916,814,0.23618559323809,0.0696221691174823,1.26640932536503,1.10487106979347,1.45156536651041,0.000692855894101045,TRUE,,""
