analysis_scope,anchor_id,cohort_n,outcomes_n,order_positive_n,administration_positive_n,both_positive_n,order_only_n,administration_only_n,neither_positive_n,discordant_n,discordant_pct,order_only_among_order_positive_pct,observed_agreement,cohen_kappa,jaccard_agreement
all_periods,A1,49114,6057,14965,6581,6581,8384,0,34149,8384,17.070489066254023,56.02405613097227,0.8292951093374598,0.5218854918450843,0.43975943869027734
all_periods,A2,6625,2591,1678,1103,717,961,386,4561,1347,20.332075471698115,57.270560190703215,0.7966792452830189,0.39385966622283225,0.34738372093023256
pre_implementation,A1,15987,1942,4235,0,0,4235,0,11752,4235,26.490273347094515,100.0,0.7350972665290548,-4.1910591486853324e-16,0.0
pre_implementation,A2,1960,729,627,0,0,627,0,1333,627,31.989795918367346,100.0,0.6801020408163265,0.0,0.0
implementation_overlap,A1,12879,1585,3683,1043,1043,2640,0,9196,2640,20.498485907290938,71.6806950855281,0.7950151409270906,0.36069243840974763,0.283193049144719
implementation_overlap,A2,1852,693,396,233,143,253,90,1366,343,18.520518358531316,63.888888888888886,0.8147948164146869,0.35204595806489797,0.294238683127572
post_implementation,A1,20248,2530,7047,5538,5538,1509,0,13201,1509,7.452587909917029,21.413367390378884,0.9254741209008297,0.8271511574901113,0.7858663260962111
post_implementation,A2,2813,1169,655,870,574,81,296,1862,377,13.402061855670103,12.366412213740459,0.865979381443299,0.6633463751438436,0.6035751840168244
post_implementation_any_emar_sensitivity,A1,19830,2399,7045,5538,5538,1507,0,12785,1507,7.599596570852244,21.391057487579843,0.9240040342914776,0.825740695678308,0.7860894251242015
post_implementation_any_emar_sensitivity,A2,2754,1138,655,870,574,81,296,1803,377,13.689179375453886,12.366412213740459,0.8631082062454611,0.6607166315376698,0.6035751840168244
