analysis_population,anchor_id,model_variant,definitions_n,n_min,n_max,outcomes_min,outcomes_max,identical_n_and_outcomes
all_periods_corrected_era,A1,published_style_minimal,2,49114,49114,6057,6057,TRUE
all_periods_corrected_era,A1,enriched,2,49114,49114,6057,6057,TRUE
all_periods_corrected_era,A2,published_style_minimal,2,6625,6625,2591,2591,TRUE
all_periods_corrected_era,A2,enriched,2,6625,6625,2591,2591,TRUE
all_periods_corrected_era,A2,landmark_48h_minimal,2,6000,6000,2023,2023,TRUE
all_periods_corrected_era,A2,landmark_48h_enriched,2,6000,6000,2023,2023,TRUE
post_implementation,A1,published_style_minimal,2,20248,20248,2530,2530,TRUE
post_implementation,A1,enriched,2,20248,20248,2530,2530,TRUE
post_implementation,A2,published_style_minimal,2,2813,2813,1169,1169,TRUE
post_implementation,A2,enriched,2,2813,2813,1169,1169,TRUE
post_implementation,A2,landmark_48h_minimal,2,2544,2544,916,916,TRUE
post_implementation,A2,landmark_48h_enriched,2,2544,2544,916,916,TRUE
