analysis_scope,drug_class,converted_orders_n,negative_lag_n,lag_over_7d_n,inferential_lag_n,median_hours,p10_hours,p25_hours,p75_hours,p90_hours,p95_hours,over_24h_n,over_24h_pct
all_periods,electrolyte_replacement,76344,726,569,75049,2.0458333333333334,0.27194444444444443,0.6644444444444444,8.9,29.004166666666656,48.81544444444424,9164,12.210689016509214
all_periods,insulin,48700,935,40,47725,2.8569444444444443,0.2338888888888889,0.6580555555555555,7.735555555555556,20.912,22.538277777777765,1738,3.6416972236773177
all_periods,intra_abdominal_antibiotics,51379,99,0,51280,2.8655555555555554,0.49444444444444446,1.0925,7.2295138888888895,13.185611111111111,18.710861111111107,726,1.4157566302652107
all_periods,prokinetic,2380,10,1,2369,1.1755555555555555,0.1988888888888889,0.4216666666666667,3.207777777777778,6.275722222222228,9.168555555555555,28,1.1819333051920642
all_periods,stress_ulcer_prophylaxis,24046,35,4,24007,6.28,0.6133333333333333,1.7506944444444446,11.315000000000001,18.873222222222232,21.749472222222224,432,1.7994751530803517
all_periods,vte_prophylaxis,16132,16,0,16116,5.11736111111111,0.9309722222222222,2.195,8.948819444444444,11.977638888888889,19.341041666666666,500,3.102506825515016
pre_implementation,electrolyte_replacement,0,0,0,0,,,,,,,0,
pre_implementation,insulin,0,0,0,0,,,,,,,0,
pre_implementation,intra_abdominal_antibiotics,0,0,0,0,,,,,,,0,
pre_implementation,prokinetic,0,0,0,0,,,,,,,0,
pre_implementation,stress_ulcer_prophylaxis,0,0,0,0,,,,,,,0,
pre_implementation,vte_prophylaxis,0,0,0,0,,,,,,,0,
implementation_overlap,electrolyte_replacement,18936,243,89,18604,2.300972222222222,0.2698055555555556,0.6730555555555555,9.637569444444445,29.181277777777783,47.249569444444425,2299,12.357557514513008
implementation_overlap,insulin,9942,323,11,9608,2.953888888888889,0.2160277777777778,0.6232638888888888,8.66576388888889,20.81113888888889,22.476027777777777,314,3.268109908409659
implementation_overlap,intra_abdominal_antibiotics,10674,37,0,10637,2.6958333333333333,0.4962777777777778,1.0480555555555555,7.1530555555555555,13.472499999999995,19.011166666666657,191,1.795619065525994
implementation_overlap,prokinetic,525,5,0,520,1.1025,0.18461111111111111,0.3686111111111111,3.0616666666666665,5.770277777777778,7.862680555555549,4,0.7692307692307693
implementation_overlap,stress_ulcer_prophylaxis,5316,16,3,5297,5.332777777777777,0.5649444444444445,1.4616666666666667,10.231388888888889,17.151777777777777,21.087777777777777,89,1.6801963375495566
implementation_overlap,vte_prophylaxis,2698,2,0,2696,4.876111111111111,0.8383333333333334,1.8863194444444444,8.424305555555556,11.166666666666666,15.382430555555555,46,1.7062314540059347
post_implementation,electrolyte_replacement,57408,483,480,56445,1.9772222222222222,0.2727777777777778,0.6625,8.618611111111111,28.94927777777777,49.37838888888885,6865,12.162281867304456
post_implementation,insulin,38758,612,29,38117,2.837222222222222,0.2385000000000001,0.6661111111111111,7.5377777777777775,20.928,22.568666666666665,1424,3.7358658866122725
post_implementation,intra_abdominal_antibiotics,40705,62,0,40643,2.9122222222222223,0.4938888888888889,1.1027777777777779,7.2595833333333335,13.12755555555556,18.65041666666667,535,1.316339837118323
post_implementation,prokinetic,1855,5,1,1849,1.2075,0.215,0.4463888888888889,3.2647222222222223,6.5375555555555565,9.442999999999987,24,1.2979989183342346
post_implementation,stress_ulcer_prophylaxis,18730,19,1,18710,6.506388888888889,0.63,1.8480555555555556,11.561458333333334,19.26361111111111,21.87436111111111,343,1.8332442544094065
post_implementation,vte_prophylaxis,13434,14,0,13420,5.1738888888888885,0.949138888888889,2.256597222222222,9.035416666666666,12.177277777777778,20.030833333333323,454,3.3830104321907597
post_implementation_any_emar_sensitivity,electrolyte_replacement,57408,483,480,56445,1.9772222222222222,0.2727777777777778,0.6625,8.618611111111111,28.94927777777777,49.37838888888885,6865,12.162281867304456
post_implementation_any_emar_sensitivity,insulin,38758,612,29,38117,2.837222222222222,0.2385000000000001,0.6661111111111111,7.5377777777777775,20.928,22.568666666666665,1424,3.7358658866122725
post_implementation_any_emar_sensitivity,intra_abdominal_antibiotics,40705,62,0,40643,2.9122222222222223,0.4938888888888889,1.1027777777777779,7.2595833333333335,13.12755555555556,18.65041666666667,535,1.316339837118323
post_implementation_any_emar_sensitivity,prokinetic,1855,5,1,1849,1.2075,0.215,0.4463888888888889,3.2647222222222223,6.5375555555555565,9.442999999999987,24,1.2979989183342346
post_implementation_any_emar_sensitivity,stress_ulcer_prophylaxis,18730,19,1,18710,6.506388888888889,0.63,1.8480555555555556,11.561458333333334,19.26361111111111,21.87436111111111,343,1.8332442544094065
post_implementation_any_emar_sensitivity,vte_prophylaxis,13434,14,0,13420,5.1738888888888885,0.949138888888889,2.256597222222222,9.035416666666666,12.177277777777778,20.030833333333323,454,3.3830104321907597
