event_mapping,analysis_scope,drug_class,not_given_n,given_n,decision_events_n,not_given_pct
frozen_primary,all_periods,electrolyte_replacement,6033,167054,173087,3.4855303980079384
frozen_primary,all_periods,insulin,36150,239238,275388,13.126933635452525
frozen_primary,all_periods,intra_abdominal_antibiotics,6127,234478,240605,2.5464973712100747
frozen_primary,all_periods,prokinetic,1081,14710,15791,6.845671585080109
frozen_primary,all_periods,stress_ulcer_prophylaxis,10447,193499,203946,5.122434369882224
frozen_primary,all_periods,vte_prophylaxis,4125,87552,91677,4.499492784449753
frozen_primary,implementation_overlap,electrolyte_replacement,1747,43876,45623,3.8292089516252767
frozen_primary,implementation_overlap,insulin,9657,44682,54339,17.771766134820293
frozen_primary,implementation_overlap,intra_abdominal_antibiotics,1506,53358,54864,2.7449693788276464
frozen_primary,implementation_overlap,prokinetic,290,3644,3934,7.37163192679207
frozen_primary,implementation_overlap,stress_ulcer_prophylaxis,2158,43075,45233,4.770853138195565
frozen_primary,implementation_overlap,vte_prophylaxis,748,14397,15145,4.938923737206999
frozen_primary,post_implementation,electrolyte_replacement,4286,123178,127464,3.3625180443105505
frozen_primary,post_implementation,insulin,26493,194556,221049,11.985125469918435
frozen_primary,post_implementation,intra_abdominal_antibiotics,4621,181120,185741,2.487872898283093
frozen_primary,post_implementation,prokinetic,791,11066,11857,6.671164712827865
frozen_primary,post_implementation,stress_ulcer_prophylaxis,8289,150424,158713,5.222634566796671
frozen_primary,post_implementation,vte_prophylaxis,3377,73155,76532,4.412533319395808
frozen_primary,post_implementation_any_emar_sensitivity,electrolyte_replacement,4286,123178,127464,3.3625180443105505
frozen_primary,post_implementation_any_emar_sensitivity,insulin,26493,194556,221049,11.985125469918435
frozen_primary,post_implementation_any_emar_sensitivity,intra_abdominal_antibiotics,4621,181120,185741,2.487872898283093
frozen_primary,post_implementation_any_emar_sensitivity,prokinetic,791,11066,11857,6.671164712827865
frozen_primary,post_implementation_any_emar_sensitivity,stress_ulcer_prophylaxis,8289,150424,158713,5.222634566796671
frozen_primary,post_implementation_any_emar_sensitivity,vte_prophylaxis,3377,73155,76532,4.412533319395808
audit_semantic_sensitivity,all_periods,electrolyte_replacement,8158,167054,175212,4.6560737849005776
audit_semantic_sensitivity,all_periods,insulin,231812,239238,471050,49.21176095955843
audit_semantic_sensitivity,all_periods,intra_abdominal_antibiotics,6432,234478,240910,2.6698767174463494
audit_semantic_sensitivity,all_periods,prokinetic,1125,14710,15835,7.104515314177455
audit_semantic_sensitivity,all_periods,stress_ulcer_prophylaxis,11021,193499,204520,5.388715040093878
audit_semantic_sensitivity,all_periods,vte_prophylaxis,4432,87552,91984,4.818229257262132
audit_semantic_sensitivity,implementation_overlap,electrolyte_replacement,2403,43876,46279,5.192419888070183
audit_semantic_sensitivity,implementation_overlap,insulin,48123,44682,92805,51.85388718280265
audit_semantic_sensitivity,implementation_overlap,intra_abdominal_antibiotics,1625,53358,54983,2.9554589600421948
audit_semantic_sensitivity,implementation_overlap,prokinetic,314,3644,3958,7.933299646286003
audit_semantic_sensitivity,implementation_overlap,stress_ulcer_prophylaxis,2447,43075,45522,5.375422872457273
audit_semantic_sensitivity,implementation_overlap,vte_prophylaxis,827,14397,15224,5.432212296374146
audit_semantic_sensitivity,post_implementation,electrolyte_replacement,5755,123178,128933,4.46355859244724
audit_semantic_sensitivity,post_implementation,insulin,183689,194556,378245,48.56349720419305
audit_semantic_sensitivity,post_implementation,intra_abdominal_antibiotics,4807,181120,185927,2.585423311299596
audit_semantic_sensitivity,post_implementation,prokinetic,811,11066,11877,6.828323650753557
audit_semantic_sensitivity,post_implementation,stress_ulcer_prophylaxis,8574,150424,158998,5.392520660637241
audit_semantic_sensitivity,post_implementation,vte_prophylaxis,3605,73155,76760,4.6964564877540385
audit_semantic_sensitivity,post_implementation_any_emar_sensitivity,electrolyte_replacement,5755,123178,128933,4.46355859244724
audit_semantic_sensitivity,post_implementation_any_emar_sensitivity,insulin,183689,194556,378245,48.56349720419305
audit_semantic_sensitivity,post_implementation_any_emar_sensitivity,intra_abdominal_antibiotics,4807,181120,185927,2.585423311299596
audit_semantic_sensitivity,post_implementation_any_emar_sensitivity,prokinetic,811,11066,11877,6.828323650753557
audit_semantic_sensitivity,post_implementation_any_emar_sensitivity,stress_ulcer_prophylaxis,8574,150424,158998,5.392520660637241
audit_semantic_sensitivity,post_implementation_any_emar_sensitivity,vte_prophylaxis,3605,73155,76760,4.6964564877540385
