analysis_population,event_mapping,locked_correlate,term,adjusted_or,ci_low,ci_high,beta,cluster_robust_se,z_value,p_value,bh_q_value
all_periods_corrected_era,frozen_primary,OASIS per SD,oasis_z,0.956997948943219,0.940146239226504,0.974151718178472,-0.0439540307465069,0.0090643560630823,-4.84910681361303,1.24018630816753e-06,1.24018630816753e-06
all_periods_corrected_era,frozen_primary,Night versus day shift,shiftnight_1900_0659,0.80444469777974,0.787642886572718,0.821604921237604,-0.217603056019078,0.0107692925082596,-20.2058822204138,8.69028471647726e-91,4.34514235823863e-90
all_periods_corrected_era,frozen_primary,Active invasive ventilation,invasive_ventilation_active,0.800050611638346,0.772736264092441,0.828330454938141,-0.223080288767395,0.0177233790988347,-12.5867808572724,2.4964838409569e-36,6.24120960239226e-36
all_periods_corrected_era,frozen_primary,Active vasopressor,vasopressor_active,1.22148214404146,1.17755277502315,1.26705032662573,0.200064993550243,0.0186873985351336,10.7058771810377,9.55216641320018e-27,1.59202773553336e-26
all_periods_corrected_era,frozen_primary,Active RRT,rrt_active,0.711380276390272,0.651922853210883,0.776260404347874,-0.340548144915003,0.0445318909561033,-7.64728686798173,2.05264066511525e-14,2.56580083139407e-14
post_implementation,frozen_primary,OASIS per SD,oasis_z,0.95476414783178,0.935644611550449,0.974274384452856,-0.0462909346236106,0.0103209184734557,-4.48515650449774,7.28604352290275e-06,7.28604352290275e-06
post_implementation,frozen_primary,Night versus day shift,shiftnight_1900_0659,0.765702073164313,0.747256755032888,0.784602696328014,-0.266962123325504,0.012441205485982,-21.4578984027152,3.85331277477107e-102,1.92665638738554e-101
post_implementation,frozen_primary,Active invasive ventilation,invasive_ventilation_active,0.777166193136444,0.747304052697397,0.80822161953237,-0.252101060705367,0.0199912266472927,-12.6105848907229,1.84617788298123e-36,4.61544470745308e-36
post_implementation,frozen_primary,Active vasopressor,vasopressor_active,1.22613105951221,1.17399854872128,1.28057856352382,0.203863731892141,0.0221678801307647,9.19635665158699,3.70292064429276e-20,6.17153440715461e-20
post_implementation,frozen_primary,Active RRT,rrt_active,0.68635353531137,0.624419335124631,0.754430795036786,-0.376362426410621,0.0482512429967778,-7.80005660031918,6.18794150890812e-15,7.73492688613514e-15
all_periods_corrected_era,audit_semantic_sensitivity,OASIS per SD,oasis_z,1.00217933454853,0.980226450597452,1.02462386929466,0.00217696324360948,0.0113005266375554,0.192642636350655,0.847238851324681,0.847238851324681
all_periods_corrected_era,audit_semantic_sensitivity,Night versus day shift,shiftnight_1900_0659,0.956966148570167,0.944127429417893,0.969979455076155,-0.0439872605997692,0.00689138813949338,-6.38293181422849,1.73729275113381e-10,2.89548791855634e-10
all_periods_corrected_era,audit_semantic_sensitivity,Active invasive ventilation,invasive_ventilation_active,0.818781454895481,0.7892236132978,0.849446290740665,-0.199938074577681,0.0187592784581521,-10.6580898099946,1.59846734402952e-26,7.99233672014762e-26
all_periods_corrected_era,audit_semantic_sensitivity,Active vasopressor,vasopressor_active,1.07221877253102,1.03107123256237,1.1150084105352,0.0697301206809207,0.0199655848741486,3.49251580259024,0.000478493282678991,0.000598116603348739
all_periods_corrected_era,audit_semantic_sensitivity,Active RRT,rrt_active,0.746389489137417,0.683447843217402,0.815127701438373,-0.292507711625572,0.0449483884327545,-6.50763513052712,7.63430689274618e-11,1.90857672318655e-10
post_implementation,audit_semantic_sensitivity,OASIS per SD,oasis_z,0.992987328419915,0.968026137587461,1.01859215998022,-0.00703737592481526,0.0129894297579747,-0.541777126166352,0.587972050760056,0.587972050760056
post_implementation,audit_semantic_sensitivity,Night versus day shift,shiftnight_1900_0659,0.954234051213079,0.939770744594846,0.968919951734705,-0.0468463009226365,0.00779250097986627,-6.0117157564272,1.83569985340904e-09,3.05949975568173e-09
post_implementation,audit_semantic_sensitivity,Active invasive ventilation,invasive_ventilation_active,0.803238088764729,0.769960345069697,0.837954099030919,-0.219104109898198,0.021588231113231,-10.1492386638345,3.33958462714397e-24,1.66979231357199e-23
post_implementation,audit_semantic_sensitivity,Active vasopressor,vasopressor_active,1.06895644591899,1.02081491109273,1.11936833098236,0.0666828883868855,0.0235114767347697,2.83618460631494,0.00456560474508959,0.00570700593136198
post_implementation,audit_semantic_sensitivity,Active RRT,rrt_active,0.721593955335049,0.652864022071485,0.797559397933966,-0.326292687021789,0.0510691629451614,-6.38923115642537,1.66721872508629e-10,4.16804681271572e-10
