analysis_scope,drug_class,eligible_orders_n,converted_orders_n,not_converted_orders_n,conversion_pct,conversion_ci_low_pct,conversion_ci_high_pct
all_periods,electrolyte_replacement,287225,76344,210881,26.579858995560972,26.41861780774945,26.741726635136782
all_periods,insulin,109475,48700,60775,44.48504224708837,44.19086470789448,44.779606810529565
all_periods,intra_abdominal_antibiotics,116654,51379,65275,44.04392476897492,43.759243591685504,44.32899820481201
all_periods,prokinetic,10366,2380,7986,22.959675863399575,22.160154880432206,23.779230767248276
all_periods,stress_ulcer_prophylaxis,71623,24046,47577,33.57301425519735,33.22805221973225,33.91973830021088
all_periods,vte_prophylaxis,37738,16132,21606,42.74736340028618,42.24899944775796,43.247203735723254
pre_implementation,electrolyte_replacement,91399,0,91399,0.0,-3.3881317890172014e-19,0.004202778337503655
pre_implementation,insulin,25565,0,25565,0.0,0.0,0.015023984668530633
pre_implementation,intra_abdominal_antibiotics,35797,0,35797,0.0,0.0,0.01073007969690516
pre_implementation,prokinetic,4977,0,4977,0.0,0.0,0.07712469574575982
pre_implementation,stress_ulcer_prophylaxis,27322,0,27322,0.0,1.3552527156068805e-18,0.014057970827661796
pre_implementation,vte_prophylaxis,9667,0,9667,0.0,2.710505431213761e-18,0.03972207420679368
implementation_overlap,electrolyte_replacement,81972,18936,63036,23.100570926657884,22.813307281653177,23.390355632678773
implementation_overlap,insulin,27829,9942,17887,35.72532250530023,35.164329476866754,36.290255884980695
implementation_overlap,intra_abdominal_antibiotics,31738,10674,21064,33.63160879702565,33.1138455297798,34.153333932762884
implementation_overlap,prokinetic,3060,525,2535,17.15686274509804,15.862465402137365,18.533617847755373
implementation_overlap,stress_ulcer_prophylaxis,19646,5316,14330,27.058943296345312,26.442242649106205,27.684613697850878
implementation_overlap,vte_prophylaxis,9938,2698,7240,27.14831958140471,26.282914513256678,28.031384112274075
post_implementation,electrolyte_replacement,113854,57408,56446,50.42247088376342,50.1320402420575,50.71287301791144
post_implementation,insulin,56081,38758,17323,69.11075052156701,68.72705345398195,69.49182965677495
post_implementation,intra_abdominal_antibiotics,49119,40705,8414,82.87017243836398,82.53440970502675,83.20079420631316
post_implementation,prokinetic,2329,1855,474,79.64791756118505,77.9645741387147,81.23361932523925
post_implementation,stress_ulcer_prophylaxis,24655,18730,5925,75.96836341512878,75.43100478038751,76.49763112646907
post_implementation,vte_prophylaxis,18133,13434,4699,74.08592069707164,73.44311849958262,74.71851989722768
post_implementation_any_emar_sensitivity,electrolyte_replacement,113849,57408,56441,50.42468532881273,50.134248343791555,50.71509365559083
post_implementation_any_emar_sensitivity,insulin,56078,38758,17320,69.11444773351404,68.73075277204622,69.49552411606439
post_implementation_any_emar_sensitivity,intra_abdominal_antibiotics,49118,40705,8413,82.87185960340405,82.53610630982236,83.2024715630587
post_implementation_any_emar_sensitivity,prokinetic,2329,1855,474,79.64791756118505,77.9645741387147,81.23361932523925
post_implementation_any_emar_sensitivity,stress_ulcer_prophylaxis,24652,18730,5922,75.97760830764238,75.44028543177852,76.50683639487448
post_implementation_any_emar_sensitivity,vte_prophylaxis,18131,13434,4697,74.09409298990678,73.45131871417674,74.72665968083354
