exposure_source,calendar_sensitivity_group,patients_n,deaths_90d_n,exposed_n,effect,ci_low,ci_high,converged,model_error
original_order,pre_2020_certain,1139,423,249,1.864868815572,1.51474648567483,2.29591930542988,TRUE,
original_order,crosses_2020_boundary,402,168,85,1.92618105050956,1.38087762745034,2.68682276082104,TRUE,
original_order,year_2020_plus_certain,1272,578,321,1.9526228831265,1.64136953509208,2.32289928757291,TRUE,
original_strict_administration,pre_2020_certain,1139,423,197,1.89377455419299,1.51652817550911,2.36486345590308,TRUE,
original_strict_administration,crosses_2020_boundary,402,168,63,2.09817227934206,1.47190870260806,2.99089672205826,TRUE,
original_strict_administration,year_2020_plus_certain,1272,578,258,1.91543739231669,1.59361968453076,2.30224340192263,TRUE,
original_broad_administration,pre_2020_certain,1139,423,332,1.13979481986479,0.928061924630903,1.39983356380802,TRUE,
original_broad_administration,crosses_2020_boundary,402,168,114,1.27709588089052,0.924954799444644,1.76330117965416,TRUE,
original_broad_administration,year_2020_plus_certain,1272,578,424,1.23249375543779,1.04072881465111,1.45959335016816,TRUE,
hospital_overlap_order,pre_2020_certain,1139,423,293,1.47494023305668,1.20098261509152,1.81139065940892,TRUE,
hospital_overlap_order,crosses_2020_boundary,402,168,102,1.71386852787296,1.24062285285531,2.36763761369791,TRUE,
hospital_overlap_order,year_2020_plus_certain,1272,578,381,1.7696766127939,1.49456838091691,2.09542457465102,TRUE,
hospital_overlap_strict_administration,pre_2020_certain,1139,423,198,1.86977703473406,1.49765222293781,2.33436448467387,TRUE,
hospital_overlap_strict_administration,crosses_2020_boundary,402,168,63,2.06544771457536,1.44825833971391,2.94565834330864,TRUE,
hospital_overlap_strict_administration,year_2020_plus_certain,1272,578,260,1.9467983149352,1.6208666532845,2.33826988256837,TRUE,
