comparison,anchor_id,operator,model_variant,model_time,replicates_n,successful_pairs_n,failed_pairs_n,delta_ci_low,delta_ci_high,observed_beta_order,observed_beta_administration,observed_delta_log_effect,observed_relative_log_change_pct,minimum_950_pass
A1__metadata_constrained_broad__enriched__static,A1,metadata_constrained_broad,enriched,static,1000,1000,0,-0.747397423615658,-0.551438073110063,0.610957977427497,-0.0393121922152018,-0.650270169642699,106.434516557216,TRUE
A1__metadata_constrained_broad__published_style_minimal__static,A1,metadata_constrained_broad,published_style_minimal,static,1000,1000,0,-0.803340811789001,-0.639176255213018,0.625053664475416,-0.095230193120685,-0.720283857596101,115.235522729174,TRUE
A1__original_broad__enriched__static,A1,original_broad,enriched,static,1000,1000,0,-0.757326892882851,-0.563839816848508,0.610957977427497,-0.0478104288082908,-0.658768406235788,107.82548564299,TRUE
A1__original_broad__published_style_minimal__static,A1,original_broad,published_style_minimal,static,1000,1000,0,-0.804641613918257,-0.642139518109413,0.625053664475416,-0.0974584297287369,-0.722512094204153,115.59200997734,TRUE
A1__original_strict__enriched__static,A1,original_strict,enriched,static,1000,1000,0,0.0159326986804495,0.122897869196342,0.610957977427497,0.680454047808075,0.0694960703805779,11.3749346024089,TRUE
A1__original_strict__published_style_minimal__static,A1,original_strict,published_style_minimal,static,1000,1000,0,-0.00421753922930332,0.0944873881317308,0.625053664475416,0.669384687099136,0.04433102262372,7.09235464780858,TRUE
A2__hospital_overlap_broad__enriched__static,A2,hospital_overlap_broad,enriched,static,1000,1000,0,-0.405350363497521,-0.21094573179904,0.334723821972564,0.0258128311509362,-0.308910990821628,92.2883196663989,TRUE
A2__hospital_overlap_broad__published_style_minimal__static,A2,hospital_overlap_broad,published_style_minimal,static,1000,1000,0,-0.397802121509779,-0.216664395107791,0.496765024310443,0.188799549799232,-0.307965474511211,61.9941943253143,TRUE
A2__hospital_overlap_broad__time_varying_enriched,A2,hospital_overlap_broad,time_varying_enriched,time_varying,1000,1000,0,-0.36236129966595,-0.167197399263604,0.404155861659507,0.13868781932873,-0.265468042330777,65.6845706111342,TRUE
A2__hospital_overlap_broad__time_varying_minimal,A2,hospital_overlap_broad,time_varying_minimal,time_varying,1000,1000,0,-0.360933808520887,-0.182343889005691,0.567996401787353,0.294136366708708,-0.273860035078645,48.2151003451555,TRUE
A2__hospital_overlap_strict__enriched__static,A2,hospital_overlap_strict,enriched,static,1000,1000,0,-0.0592729976353142,0.119070522440205,0.334723821972564,0.364905553458563,0.0301817314859992,9.01690573086045,TRUE
A2__hospital_overlap_strict__published_style_minimal__static,A2,hospital_overlap_strict,published_style_minimal,static,1000,1000,0,0.0717380250787977,0.249141309468197,0.496765024310443,0.655923963650483,0.15915893934004,32.0390791523554,TRUE
A2__hospital_overlap_strict__time_varying_enriched,A2,hospital_overlap_strict,time_varying_enriched,time_varying,1000,1000,0,-0.00620632431152709,0.177753328837927,0.404155861659507,0.489878552631546,0.0857226909720388,21.2103050095704,TRUE
A2__hospital_overlap_strict__time_varying_minimal,A2,hospital_overlap_strict,time_varying_minimal,time_varying,1000,1000,0,0.110693657315461,0.290012367093465,0.567996401787353,0.766013868015245,0.198017466227893,34.8624508191914,TRUE
A2__original_broad__enriched__static,A2,original_broad,enriched,static,1000,1000,0,-0.481290953996312,-0.277547323120436,0.403847608131462,0.0258128311509362,-0.378034776980526,93.6082743512168,TRUE
A2__original_broad__published_style_minimal__static,A2,original_broad,published_style_minimal,static,1000,1000,0,-0.553814658973832,-0.359635037646762,0.643879119956431,0.188799549799232,-0.455079570157199,70.6777958862826,TRUE
A2__original_broad__time_varying_enriched,A2,original_broad,time_varying_enriched,time_varying,1000,1000,0,-0.433853386039614,-0.220862537244371,0.465695807372676,0.13868781932873,-0.327007988043946,70.2192252682781,TRUE
A2__original_broad__time_varying_minimal,A2,original_broad,time_varying_minimal,time_varying,1000,1000,0,-0.502009675784377,-0.308480894515047,0.699118503591089,0.294136366708708,-0.404982136882381,57.9275380070978,TRUE
A2__original_strict__enriched__static,A2,original_strict,enriched,static,1000,1000,0,-0.112126438550577,0.0511881863185665,0.403847608131462,0.36882337660784,-0.0350242315236219,8.67263562254917,TRUE
A2__original_strict__published_style_minimal__static,A2,original_strict,published_style_minimal,static,1000,1000,0,-0.0581351444780524,0.0892054875453383,0.643879119956431,0.655501029241009,0.0116219092845786,1.80498309766048,TRUE
A2__original_strict__time_varying_enriched,A2,original_strict,time_varying_enriched,time_varying,1000,1000,0,-0.0485436380956938,0.110217810392698,0.465695807372676,0.493487230039803,0.0277914226671263,5.96772017852547,TRUE
A2__original_strict__time_varying_minimal,A2,original_strict,time_varying_minimal,time_varying,1000,1000,0,-0.00235675438640996,0.145028162762864,0.699118503591089,0.768357457637097,0.0692389540460073,9.90375075046002,TRUE
