anchor_id,operator,exposure_source,model_variant,effect_measure,patients_n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error
A1,original_strict,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,TRUE,
A1,original_strict,administration,published_style_minimal,OR,20248,2530,5538,0.669384687099136,0.0450759492347525,1.9530352230722,1.7878923178651,2.13343194354979,6.94113417210591e-50,TRUE,
A1,original_strict,order,enriched,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,TRUE,
A1,original_strict,administration,enriched,OR,20248,2530,5538,0.680454047808075,0.0513608189240652,1.97477417058571,1.78566106730639,2.18391557962065,4.60283205183958e-40,TRUE,
A1,original_broad,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,TRUE,
A1,original_broad,administration,published_style_minimal,OR,20248,2530,12362,-0.0974584297287369,0.0447484557625986,0.907140050829991,0.83096816727622,0.990294338851971,0.0294122046446843,TRUE,
A1,original_broad,order,enriched,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,TRUE,
A1,original_broad,administration,enriched,OR,20248,2530,12362,-0.0478104288082908,0.0511542881638476,0.953314490912959,0.862369892040068,1.05385000911234,0.349978040753316,TRUE,
A1,metadata_constrained_broad,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,TRUE,
A1,metadata_constrained_broad,administration,published_style_minimal,OR,20248,2530,12183,-0.095230193120685,0.0445706116545707,0.909163627166054,0.833112171070666,0.992157514515083,0.0326293994808415,TRUE,
A1,metadata_constrained_broad,order,enriched,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,TRUE,
A1,metadata_constrained_broad,administration,enriched,OR,20248,2530,12183,-0.0393121922152018,0.0508776730151856,0.961450504925155,0.870201400808524,1.0622679675785,0.439711415531042,TRUE,
A2,original_strict,order,published_style_minimal,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,TRUE,
A2,original_strict,administration,published_style_minimal,HR,2813,1169,518,0.655501029241009,0.0668844838925989,1.92610731174559,1.68946151787695,2.19590049083914,1.12035599018655e-22,TRUE,
A2,original_strict,order,enriched,HR,2813,1169,655,0.403847608131462,0.0658782798557435,1.49757571120704,1.31617335407827,1.70397995358892,8.77638377568816e-10,TRUE,
A2,original_strict,administration,enriched,HR,2813,1169,518,0.36882337660784,0.0706680893937085,1.44603217800988,1.25899837775148,1.66085127414894,1.79800836290519e-07,TRUE,
A2,original_broad,order,published_style_minimal,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,TRUE,
A2,original_broad,administration,published_style_minimal,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.00219723763548123,TRUE,
A2,original_broad,order,enriched,HR,2813,1169,655,0.403847608131462,0.0658782798557435,1.49757571120704,1.31617335407827,1.70397995358892,8.77638377568816e-10,TRUE,
A2,original_broad,administration,enriched,HR,2813,1169,870,0.0258128311509362,0.0630940199866366,1.02614886739573,0.906785658786708,1.16122425167866,0.682453859572456,TRUE,
A2,hospital_overlap_strict,order,published_style_minimal,HR,2813,1169,776,0.496765024310443,0.061437822796495,1.64339631516524,1.4569556745493,1.85369499970145,6.18311081814307e-16,TRUE,
A2,hospital_overlap_strict,administration,published_style_minimal,HR,2813,1169,521,0.655923963650483,0.0667259469727891,1.92692210109315,1.69070146480401,2.1961469017309,8.35204668096137e-23,TRUE,
A2,hospital_overlap_strict,order,enriched,HR,2813,1169,776,0.334723821972564,0.0629578096486491,1.39755435811296,1.2353184394052,1.58109692333336,1.05702627403651e-07,TRUE,
A2,hospital_overlap_strict,administration,enriched,HR,2813,1169,521,0.364905553458563,0.070573405419538,1.44037796300785,1.25430824394072,1.65405009999815,2.33366507564682e-07,TRUE,
A2,hospital_overlap_broad,order,published_style_minimal,HR,2813,1169,776,0.496765024310443,0.061437822796495,1.64339631516524,1.4569556745493,1.85369499970145,6.18311081814307e-16,TRUE,
A2,hospital_overlap_broad,administration,published_style_minimal,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.00219723763548123,TRUE,
A2,hospital_overlap_broad,order,enriched,HR,2813,1169,776,0.334723821972564,0.0629578096486491,1.39755435811296,1.2353184394052,1.58109692333336,1.05702627403651e-07,TRUE,
A2,hospital_overlap_broad,administration,enriched,HR,2813,1169,870,0.0258128311509362,0.0630940199866366,1.02614886739573,0.906785658786708,1.16122425167866,0.682453859572456,TRUE,
