normalized_ndc,expected_ingredients,expected_classes,prescription_rows_n
63323026201,heparin,vte_prophylaxis,315597.0
00409672924,magnesium sulfate,electrolyte_replacement,227780.0
00002751001,insulin lispro|insulin regular human,insulin,223401.0
00088222033,insulin glargine|insulin regular human,insulin,222788.0
00338070341,potassium chloride,electrolyte_replacement,108776.0
00002751017,insulin lispro|insulin regular human,insulin,103340.0
66758016013,potassium chloride,electrolyte_replacement,96276.0
00002821501,insulin lispro|insulin regular human,insulin,92656.0
00245004101,potassium chloride,electrolyte_replacement,76443.0
00574027511,potassium chloride,electrolyte_replacement,68723.0
00409672923,magnesium sulfate,electrolyte_replacement,67677.0
00264958720,heparin,vte_prophylaxis,65926.0
00456066270,potassium chloride,electrolyte_replacement,59206.0
69238161708,potassium chloride,electrolyte_replacement,58635.0
00338070948,potassium chloride,electrolyte_replacement,57628.0
58177020211,potassium chloride,electrolyte_replacement,54808.0
00409665305,potassium chloride,electrolyte_replacement,53846.0
00008084199,pantoprazole,stress_ulcer_prophylaxis,48716.0
61553008348,calcium gluconate,electrolyte_replacement,47060.0
76439034310,potassium chloride,electrolyte_replacement,44161.0
63323010605,magnesium sulfate,electrolyte_replacement,42584.0
00603155404,potassium chloride,electrolyte_replacement,42493.0
00338067104,potassium chloride,electrolyte_replacement,42169.0
00002831501,insulin isophane human|insulin regular human,insulin,39851.0
00008092355,pantoprazole,stress_ulcer_prophylaxis,39845.0
00409779362,heparin,vte_prophylaxis,39798.0
61553005148,calcium gluconate,electrolyte_replacement,39675.0
00641040012,heparin,vte_prophylaxis,39011.0
25021040201,heparin,vte_prophylaxis,38586.0
00206886202,piperacillin,intra_abdominal_antibiotics,37465.0
00409729501,potassium phosphate,electrolyte_replacement,37464.0
00904568461,omeprazole,stress_ulcer_prophylaxis,34225.0
00002821517,insulin regular human,insulin,31902.0
00904526161,ranitidine,stress_ulcer_prophylaxis,30692.0
60505068104,cefepime,intra_abdominal_antibiotics,29912.0
00338519741,famotidine,stress_ulcer_prophylaxis,29815.0
44567062124,calcium gluconate,electrolyte_replacement,29325.0
63739035410,magnesium oxide,electrolyte_replacement,29140.0
64980010401,phosphorus,electrolyte_replacement,27900.0
63323031119,calcium gluconate,electrolyte_replacement,24853.0
68084007001,ciprofloxacin,intra_abdominal_antibiotics,24594.0
00093521193,omeprazole,stress_ulcer_prophylaxis,24379.0
63323054011,heparin,vte_prophylaxis,23897.0
51079096620,famotidine,stress_ulcer_prophylaxis,23502.0
00338105548,metronidazole,intra_abdominal_antibiotics,22536.0
