pmcid,supplement_href,request_url,final_url,retrieval_source,europe_pmc_status,oa_package_status,http_status,bytes,sha256,extraction_status,reviewable_text_characters_n,native_table,identity_field,event_semantics,time_rule,dose_route,executable_code
PMC12830572,41598_2025_33211_MOESM1_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12830572/bin/41598_2025_33211_MOESM1_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12830572/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,49924,5fe09a98dfd24d7d1509a05e98cbfe7cfcca77e0c689cbaf92c0cf179a509850,docx_extracted,4037,0,0,0,0,0,0
PMC10225678,Table1.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC10225678/bin/Table1.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10225678/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,20088,0db40e090516fbb0673ad88b0f513ab306a47070c3430cd52bb32fae02d87d53,docx_extracted,2497,0,0,0,0,0,0
PMC13171905,41598_2026_42395_MOESM1_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC13171905/bin/41598_2026_42395_MOESM1_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13171905/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,30159,c5fabf9b5582baa8625fb508ca9d192f4f4d66d1d99ccb7c34d4af07f4ae1915,docx_extracted,7781,0,0,0,0,0,0
PMC11658092,12890_2024_3441_MOESM1_ESM.xls,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658092/bin/12890_2024_3441_MOESM1_ESM.xls,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11658092/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,23552,bcaa54f48ed57fd5704c63f3a632a90c743a2088c977ccbed2e57fc01d902ccf,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC11658092,12890_2024_3441_MOESM2_ESM.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658092/bin/12890_2024_3441_MOESM2_ESM.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11658092/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,23909,187ec11e56b586506839c4673be94f7a4e1d7bf4a7be904eb1cbfd11f4c598b5,pdf_extracted,0,0,0,0,0,0,0
PMC11658092,12890_2024_3441_MOESM3_ESM.xls,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658092/bin/12890_2024_3441_MOESM3_ESM.xls,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11658092/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,22528,cd838c30ad8d54b090769ef8ba8df3c1d685d9586f7c490a29b00735b70e32b6,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC11658092,12890_2024_3441_MOESM4_ESM.xls,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658092/bin/12890_2024_3441_MOESM4_ESM.xls,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11658092/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,22016,63d232c4808a2af4849f325afa62f9f3a24f81208f84333baff35a51018202fd,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC11658092,12890_2024_3441_MOESM5_ESM.xls,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658092/bin/12890_2024_3441_MOESM5_ESM.xls,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11658092/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,19968,0e2c40845ac7f48b5708b8139e0e758628ab3165af7d6c01e03e81504679d6eb,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC11658092,12890_2024_3441_MOESM6_ESM.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11658092/bin/12890_2024_3441_MOESM6_ESM.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11658092/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,5756,a88134273ebccfe34e6cfda0a43e994fff2fe45ab4409456217ea84aeb820d07,pdf_extracted,748,0,0,0,0,0,0
PMC12429005,jcm-14-06086-s001.zip,https://pmc.ncbi.nlm.nih.gov/articles/PMC12429005/bin/jcm-14-06086-s001.zip,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12429005/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,15620718,021a2b74be5789a2fa4d39119ccf53bbac948c6b5d8abb050ac7d166b97109e7,zip_extracted,1170568,0,0,0,4,0,0
PMC12935770,210_2025_4653_MOESM1_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12935770/bin/210_2025_4653_MOESM1_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12935770/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,256457,fb7a51e9328b8fcaae6ce450c431c45c0f97fd1cef238100e5435d626a9e8d11,docx_extracted,1473,0,0,0,0,1,1
PMC12935770,210_2025_4653_MOESM2_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12935770/bin/210_2025_4653_MOESM2_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12935770/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,31205,45b5a60cea7839b857c545fd35a2a8fdfce380ab75880f1b6652db6ddccd4d18,docx_extracted,6756,0,0,0,0,1,1
PMC12784597,12876_2025_4499_MOESM1_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12784597/bin/12876_2025_4499_MOESM1_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12784597/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,30262,4cbb7bffeb135fad11c883932b9c46d22d478737ad213f8ebb71a45b9a97e3be,docx_extracted,5174,0,0,0,0,1,0
