field,field_group,column_present,rows_n,nonmissing_n,nonmissing_pct
drug_exposure_id,standard_or_observed_omop,True,18229,18229,100.0
person_id,standard_or_observed_omop,True,18229,18229,100.0
drug_concept_id,standard_or_observed_omop,True,18229,18229,100.0
drug_exposure_start_datetime,standard_or_observed_omop,True,18229,18229,100.0
drug_exposure_end_datetime,standard_or_observed_omop,True,18229,18229,100.0
drug_type_concept_id,standard_or_observed_omop,True,18229,18229,100.0
route_concept_id,standard_or_observed_omop,True,18229,18229,100.0
route_source_value,standard_or_observed_omop,True,18229,18223,99.967085
quantity,standard_or_observed_omop,True,18229,18220,99.950628
dose_unit_source_value,standard_or_observed_omop,True,18229,18220,99.950628
sig,standard_or_observed_omop,True,18229,0,0.0
provider_id,standard_or_observed_omop,True,18229,0,0.0
visit_occurrence_id,standard_or_observed_omop,True,18229,18229,100.0
visit_detail_id,standard_or_observed_omop,True,18229,0,0.0
drug_source_value,standard_or_observed_omop,True,18229,18229,100.0
drug_source_concept_id,standard_or_observed_omop,True,18229,18229,100.0
medprov_event_state,medprov_provenance_extension,False,18229,0,0.0
medprov_source_role,medprov_provenance_extension,False,18229,0,0.0
medprov_native_record_id,medprov_provenance_extension,False,18229,0,0.0
medprov_native_order_id,medprov_provenance_extension,False,18229,0,0.0
medprov_not_given_reason,medprov_provenance_extension,False,18229,0,0.0
medprov_revision_chain,medprov_provenance_extension,False,18229,0,0.0
