linksto,itemid,label,abbreviation,category,unitname,param_type,fact_rows_n
chartevents,220069,Left Artrial Pressure,LAP,Hemodynamics,mmHg,Numeric,0
chartevents,220218,Vital Capacity,VC,Respiratory,Liters,Numeric,0
chartevents,220541,ZFibrinogen,ZFibrinogen,Labs,None,Numeric,0
chartevents,220560,ZProthrombin time,ZPT,Labs,None,Numeric,0
chartevents,220561,ZINR,ZINR,Labs,None,Numeric,0
chartevents,220562,ZPTT,ZPTT,Labs,None,Numeric,0
chartevents,220574,ZAlbumin,ZAlbumin,Labs,None,Numeric,0
chartevents,220611,ZCortisol,ZCortisol,Labs,None,Numeric,0
chartevents,220612,ZC Reactive Protein (CRP),ZC Reaction Protein (CRP),Labs,None,Numeric,0
chartevents,220640,ZPotassium (serum),ZPotassium (serum),Labs,None,Numeric,0
chartevents,220799,ZSpecific Gravity (urine),ZSpecific gravity (urine),Labs,None,Numeric,0
chartevents,222871,Mallampati classification (Intubation),Mallampati classification (Intubation),Intubation,,Text,0
chartevents,223804,TOF Response/Twitch,TOF Response/Twitch,Pain/Sedation,,Text,0
chartevents,223851,Rate,Rate,Respiratory,,Text,0
chartevents,223867,Additional Settings,Additional Settings,Respiratory,,Text,0
chartevents,223870,Wean,Wean,Respiratory,,Text,0
chartevents,223871,Physio,Physio,Respiratory,,Text,0
chartevents,223877,ZCath Lab Intake,ZCath Lab Intake,ZIntake,mL,Numeric,0
chartevents,223878,ZOR Intake,ZOR Intake,ZIntake,mL,Numeric,0
chartevents,223879,ZPACU Intake,ZPACU Intake,ZIntake,mL,Numeric,0
chartevents,223880,ZFree Form Intake,ZFree Form Intake,ZIntake,mL,Numeric,0
chartevents,223881,ZGU Irrigant Intake,ZGU Irrigant Intake,ZIntake,mL,Numeric,0
chartevents,223933,Heat Sounds,Heat Sounds,Cardiovascular (Pulses),,Text,0
chartevents,223957,Pacer Rate,Pacer Rate,Cardiovascular (Pulses),,Text,0
chartevents,223964,Transcutaneous Pacer,Transcutaneous Pacer,Cardiovascular (Pacer Data),,Text,0
chartevents,223969,Transcutaneous Pacer Rate,Transcutaneous Pacer Rate,Cardiovascular (Pacer Data),None,Numeric,0
chartevents,224078,Education Handout,Education Handout,Restraint/Support Systems,,Text,0
chartevents,224135,Dialysis Access Site,Dialysis Access Site,Dialysis,,Text,0
chartevents,224139,Dialysis Site Appearance,Dialysis Site Appearance,Dialysis,,Text,0
chartevents,224336,Type of catheter (CVL),Type of catheter (CVL),CVL Insertion,,Text,0
chartevents,224337,Insertion site (CVL),Insertion site (CVL),CVL Insertion,,Text,0
chartevents,224339,Guidewire exchange (CVL),Guidewire exchange (CVL),CVL Insertion,,Text,0
chartevents,224340,Side (CVL),Side (CVL),CVL Insertion,,Text,0
chartevents,224341,Acuity (CVL),Acuity (CVL),CVL Insertion,,Text,0
chartevents,224345,Barrier precautions in place (CVL),Barrier precautions in place (CVL),CVL Insertion,,Text,0
chartevents,224347,Timeout performed by (CVL),Timeout performed by (CVL),CVL Insertion,,Text,0
chartevents,224348,Patient identified correctly (CVL),Patient identified correctly (CVL),CVL Insertion,,Text,0
chartevents,224349,Verification of (CVL),Verification of (CVL),CVL Insertion,,Text,0
chartevents,224351,Number of attempts required to place line (CVL),Number of attempts required to place line (CVL),CVL Insertion,,Text,0
chartevents,224380,Neuro Waveform Appearance,Neuro Waveform Appearance,Neurological,,Text,0
chartevents,224451,Traction/Immobile #4,Traction/Immobile #4,Treatments,,Text,0
chartevents,224468,Ultrasound (CVL),Ultrasound (CVL),CVL Insertion,,Text,0
chartevents,224469,Medications / anesthetic (PA line),Medications / anesthetic (PA line),PA Line Insertion,,Text,0
chartevents,224472,Indications (PA line),Indications (PA line),PA Line Insertion,,Text,0
chartevents,224476,Insertion site (PA line),Insertion site (PA line),PA Line Insertion,,Text,0
chartevents,224478,Type of catheter (PA line),Type of catheter (PA line),PA Line Insertion,,Text,0
chartevents,224479,Complications (PA line),Complications (PA line),PA Line Insertion,,Text,0
chartevents,224489,Indication (LP),Indication (LP),Lumbar Puncture,,Text,0
chartevents,224490,Site cleansed with ChloraPrep(TM) (LP),Site cleansed with ChloraPrep(TM) (LP),Lumbar Puncture,,Checkbox,0
chartevents,224491,Lidocaine 1% (LP),Lidocaine 1% (LP),Lumbar Puncture,mL SC,Numeric,0
chartevents,224495,Patient position (LP),Patient position (LP),Lumbar Puncture,,Text,0
chartevents,224496,Entry site (LP),Entry site (LP),Lumbar Puncture,,Text,0
chartevents,224498,Amount of fluid removed (LP),Amount of fluid removed (LP),Lumbar Puncture,mL,Numeric,0
chartevents,224499,Fluid removed (LP),Fluid removed (LP),Lumbar Puncture,,Text,0
chartevents,224503,Patient (THCEN),Patient (THCEN),Thoracentesis,,Text,0
chartevents,224504,With ultrasound (THCEN),With ultrasound (THCEN),Thoracentesis,,Text,0
chartevents,224505,Lidocaine 1% (THCEN),Lidocaine 1% (THCEN),Thoracentesis,mL SC,Numeric,0
chartevents,224506,Conscious sedation (THCEN),Conscious sedation (THCEN),Thoracentesis,,Checkbox,0
chartevents,224508,Location (PICC),Location (PICC),PICC Line Insertion,,Text,0
chartevents,224511,Type of catheter (PICC),Type of catheter (PICC),PICC Line Insertion,,Text,0
chartevents,224512,Insertion site (PICC),Insertion site (PICC),PICC Line Insertion,,Text,0
chartevents,224515,Timeout performed by (PICC),Timeout performed by (PICC),PICC Line Insertion,,Text,0
chartevents,224517,Patient identified correctly (PICC),Patient identified correctly (PICC),PICC Line Insertion,,Text,0
chartevents,224568,Barrier precautions in place (PICC),Barrier precautions in place (PICC),PICC Line Insertion,,Text,0
chartevents,224571,Guidewire exchange (PICC),Guidewire exchange (PICC),PICC Line Insertion,,Text,0
chartevents,224577,Side (PICC),Side (PICC),PICC Line Insertion,,Text,0
chartevents,224581,Ultrasound (PICC),Ultrasound (PICC),PICC Line Insertion,,Text,0
chartevents,224582,Verification of (PICC),Verification of (PICC),PICC Line Insertion,,Text,0
chartevents,224584,Number of attempts required to place line (PICC),Number of attempts required to place line (PICC),PICC Line Insertion,,Text,0
chartevents,224596,Acuity (PICC),Acuity (PICC),PICC Line Insertion,,Text,0
chartevents,224604,Thermodilution (PA line),Thermodilution (PA line),PA Line Insertion,,Checkbox,0
chartevents,224605,Fick (PA line),Fick (PA line),PA Line Insertion,,Checkbox,0
chartevents,224617,Timeout performed by (PA line),Timeout performed by (PA line),PA Line Insertion,,Text,0
chartevents,224618,Patient identified correctly (PA line),Patient identified correctly (PA line),PA Line Insertion,,Text,0
chartevents,224619,Verification of (PA line),Verification of (PA line),PA Line Insertion,,Text,0
chartevents,224624,Barrier precautions in place (PA line),Barrier precautions in place (PA line),PA Line Insertion,,Text,0
chartevents,224629,Number of operators (CVL),Number of operators (CVL),CVL Insertion,,Text,0
