drug_class,event_category,events_n,detail_linked_n,detail_linked_pct,dose_given_available_n,dose_given_available_pct,dose_given_with_unit_n,dose_given_with_unit_pct,dose_due_available_n,product_amount_available_n,route_available_n,administration_type_available_n,reason_for_no_barcode_available_n,complete_dose_not_given_yes_n
electrolyte_replacement,blank,174963,174963.0,100.0,174638.0,99.81424644067603,174633.0,99.8113886936095,174355.0,167279.0,5893.0,174686.0,7352.0,0.0
electrolyte_replacement,confirmed,2872,2872.0,100.0,102.0,3.5515320334261835,102.0,3.5515320334261835,2609.0,1697.0,0.0,2705.0,180.0,0.0
electrolyte_replacement,flushed,9,9.0,100.0,9.0,100.0,9.0,100.0,9.0,9.0,0.0,9.0,0.0,0.0
electrolyte_replacement,given_strict,701114,701114.0,100.0,698575.0,99.63786203099639,698429.0,99.61703802805249,680293.0,678037.0,166757.0,691978.0,21228.0,0.0
electrolyte_replacement,not_given,44267,44267.0,100.0,16230.0,36.6638805430682,16230.0,36.6638805430682,42066.0,15678.0,313.0,44227.0,551.0,10757.0
electrolyte_replacement,other_excluded,18675,18675.0,100.0,10892.0,58.323962516733594,10892.0,58.323962516733594,16266.0,9666.0,70.0,18611.0,3857.0,0.0
insulin,blank,18555,18555.0,100.0,18117.0,97.6394502829426,18104.0,97.56938830503907,14461.0,13253.0,0.0,18553.0,1181.0,0.0
insulin,confirmed,58581,58581.0,100.0,301.0,0.5138184735665148,301.0,0.5138184735665148,23231.0,11.0,0.0,58450.0,3903.0,0.0
insulin,flushed,3,3.0,100.0,3.0,100.0,3.0,100.0,2.0,1.0,0.0,3.0,0.0,0.0
insulin,given_strict,1391290,1391290.0,100.0,1375867.0,98.89146044318582,1375243.0,98.84660998066542,1291422.0,467768.0,0.0,1391141.0,78569.0,0.0
insulin,not_given,178807,178807.0,100.0,5362.0,2.9987640304909764,5349.0,2.9914936216143664,85518.0,2624.0,0.0,178785.0,501.0,1696.0
insulin,other_excluded,966850,966850.0,100.0,405.0,0.041888607333092,401.0,0.041474892692765164,18920.0,110.0,0.0,966834.0,3033.0,0.0
intra_abdominal_antibiotics,blank,5045,5045.0,100.0,5034.0,99.78196233894946,5034.0,99.78196233894946,5030.0,4845.0,52.0,5032.0,184.0,0.0
intra_abdominal_antibiotics,confirmed,29,29.0,100.0,20.0,68.96551724137932,20.0,68.96551724137932,29.0,23.0,0.0,29.0,6.0,0.0
intra_abdominal_antibiotics,given_strict,1213438,1213438.0,100.0,1207081.0,99.47611662070909,1206700.0,99.44471823035046,1204152.0,1161407.0,203340.0,1212087.0,31913.0,0.0
intra_abdominal_antibiotics,not_given,36474,36474.0,100.0,4740.0,12.99555848001316,4740.0,12.99555848001316,35304.0,4547.0,8.0,36465.0,131.0,105.0
intra_abdominal_antibiotics,other_excluded,57449,57449.0,100.0,47910.0,83.39570749708437,47910.0,83.39570749708437,56572.0,40757.0,172.0,57432.0,14664.0,0.0
prokinetic,blank,91,91.0,100.0,91.0,100.0,91.0,100.0,82.0,80.0,13.0,91.0,11.0,0.0
prokinetic,given_strict,120548,120548.0,100.0,120533.0,99.9875568238378,120533.0,99.9875568238378,119786.0,117269.0,47283.0,120538.0,3225.0,0.0
prokinetic,not_given,15704,15704.0,100.0,492.0,3.132959755476312,492.0,3.132959755476312,15523.0,480.0,1.0,15703.0,14.0,12.0
prokinetic,other_excluded,642,642.0,100.0,24.0,3.7383177570093453,24.0,3.7383177570093453,511.0,23.0,14.0,642.0,1.0,0.0
stress_ulcer_prophylaxis,blank,633,633.0,100.0,630.0,99.52606635071089,630.0,99.52606635071089,629.0,586.0,67.0,632.0,41.0,0.0
stress_ulcer_prophylaxis,confirmed,1744,1744.0,100.0,0.0,0.0,0.0,0.0,1641.0,586.0,0.0,1744.0,74.0,0.0
stress_ulcer_prophylaxis,given_strict,1178149,1178149.0,100.0,1176733.0,99.87981146697065,1176639.0,99.87183284966503,1176247.0,1152197.0,331764.0,1177229.0,22677.0,0.0
stress_ulcer_prophylaxis,not_given,52688,52688.0,100.0,5479.0,10.398952323109627,5479.0,10.398952323109627,50197.0,5387.0,8.0,52678.0,102.0,113.0
stress_ulcer_prophylaxis,other_excluded,8598,8598.0,100.0,2609.0,30.3442661083973,2607.0,30.321004884856944,5615.0,2326.0,92.0,8596.0,1098.0,0.0
vte_prophylaxis,blank,906,906.0,100.0,148.0,16.335540838852097,148.0,16.335540838852097,836.0,117.0,0.0,896.0,22.0,0.0
vte_prophylaxis,confirmed,294570,294570.0,100.0,775.0,0.2630953593373392,755.0,0.2563058016770208,268495.0,43683.0,0.0,294327.0,22642.0,0.0
vte_prophylaxis,flushed,223,223.0,100.0,222.0,99.55156950672645,222.0,99.55156950672645,0.0,211.0,0.0,0.0,0.0,0.0
vte_prophylaxis,given_strict,1648497,1648497.0,100.0,1588820.0,96.3799145524681,1586882.0,96.26235291905293,1605724.0,1549988.0,5.0,1646685.0,55105.0,0.0
vte_prophylaxis,not_given,134406,134406.0,100.0,14026.0,10.435546032171183,14023.0,10.433313988958826,131212.0,13733.0,0.0,134369.0,524.0,52.0
vte_prophylaxis,other_excluded,102745,102745.0,100.0,358.0,0.34843544698038836,357.0,0.3474621636089347,98476.0,6457.0,0.0,102684.0,11411.0,0.0
