drug_class,event_txt,event_category,events_n,subjects_n,hadms_n,poe_ids_n,identity_linked_events_n
electrolyte_replacement,Administered,given_strict,687849,69469,119396,447242,672047.0
electrolyte_replacement,<NULL>,blank,174963,23595,32830,58045,170180.0
electrolyte_replacement,Not Given,not_given,33589,14486,17186,23037,32785.0
electrolyte_replacement,Started,given_strict,11327,7852,7613,11312,8385.0
electrolyte_replacement,Stopped,other_excluded,10162,6737,6580,9386,7233.0
electrolyte_replacement,Administered,not_given,6944,2813,3238,5211,6915.0
electrolyte_replacement,Partial Administered,not_given,3653,1875,2076,3039,3648.0
electrolyte_replacement,Confirmed,confirmed,2872,778,768,1242,2723.0
electrolyte_replacement,Not Given per Sliding Scale,other_excluded,2580,1908,1933,2277,2533.0
electrolyte_replacement,Hold Dose,other_excluded,1869,1484,1523,1643,1832.0
electrolyte_replacement,Delayed Administered,given_strict,1720,1487,1530,1627,1687.0
electrolyte_replacement,Administered in Other Location,other_excluded,884,769,767,876,865.0
electrolyte_replacement,Restarted,other_excluded,877,773,648,842,608.0
electrolyte_replacement, in Other Location,other_excluded,802,730,711,779,754.0
electrolyte_replacement,Stopped in Other Location,other_excluded,584,550,529,584,514.0
electrolyte_replacement,Stopped - Unscheduled,other_excluded,301,273,266,298,286.0
electrolyte_replacement,Not Started,other_excluded,229,212,160,224,161.0
electrolyte_replacement,Partial Administered,given_strict,218,201,203,218,218.0
electrolyte_replacement,Not Stopped,other_excluded,194,162,147,168,162.0
electrolyte_replacement,Delayed Administered,not_given,76,68,68,72,76.0
electrolyte_replacement,Started in Other Location,other_excluded,72,71,66,72,67.0
electrolyte_replacement,Delayed ,other_excluded,51,41,41,43,51.0
electrolyte_replacement,Not Confirmed,other_excluded,26,23,23,23,26.0
electrolyte_replacement,Documented in O.R. Holding,other_excluded,15,15,11,15,11.0
electrolyte_replacement,Confirmed in Other Location,other_excluded,9,9,9,9,9.0
electrolyte_replacement,Delayed Started,other_excluded,9,9,7,9,7.0
electrolyte_replacement,Flushed,flushed,9,5,5,5,9.0
electrolyte_replacement,Delayed Confirmed,other_excluded,7,7,7,7,7.0
electrolyte_replacement,Hold Dose,not_given,5,5,5,5,5.0
electrolyte_replacement,Not Flushed,other_excluded,2,2,2,2,2.0
electrolyte_replacement,Assessed,other_excluded,1,1,1,1,1.0
electrolyte_replacement,Stopped - Unscheduled in Other Location,other_excluded,1,1,1,1,1.0
insulin,Administered,given_strict,1376285,36828,71347,254952,1343737.0
insulin,Not Given per Sliding Scale,other_excluded,939379,39920,73070,164472,919840.0
insulin,Not Given,not_given,177119,27771,46177,92066,172497.0
insulin,Confirmed,confirmed,58581,7253,7733,10569,56828.0
insulin,<NULL>,blank,18555,5980,9104,13044,18210.0
insulin,Started,given_strict,10128,7468,7956,10070,9825.0
insulin,Hold Dose,other_excluded,9132,5397,6457,7555,8877.0
insulin,Stopped - Unscheduled,other_excluded,5654,4704,4929,5294,5557.0
insulin,Delayed Administered,given_strict,4868,2947,3660,4312,4762.0
insulin, in Other Location,other_excluded,3028,2446,2571,2805,2980.0
insulin,Not Started,other_excluded,1865,1336,1340,1382,1840.0
insulin,Administered in Other Location,other_excluded,1862,1433,1524,1659,1814.0
insulin,Stopped,other_excluded,1773,1312,1420,1773,1663.0
insulin,Administered,not_given,1635,760,918,1157,1631.0
insulin,Not Confirmed,other_excluded,1293,816,833,914,1275.0
insulin,Stopped As Directed,other_excluded,947,875,873,903,936.0
insulin,Restarted,other_excluded,925,671,688,735,911.0
insulin,Stopped in Other Location,other_excluded,230,223,222,228,223.0
insulin,Not Stopped,other_excluded,187,168,169,176,174.0
insulin,Started in Other Location,other_excluded,133,129,122,133,122.0
insulin,Delayed Started,other_excluded,124,124,122,124,122.0
insulin,Not Started per Sliding Scale,other_excluded,113,73,71,74,110.0
insulin,Confirmed in Other Location,other_excluded,79,64,63,64,77.0
insulin,Delayed ,other_excluded,51,42,42,42,50.0
insulin,Delayed Administered,not_given,42,39,39,40,42.0
insulin,Delayed Confirmed,other_excluded,24,24,23,24,23.0
insulin,Stopped - Unscheduled in Other Location,other_excluded,20,20,20,20,20.0
insulin,Documented in O.R. Holding,other_excluded,13,12,6,12,7.0
insulin,Not Stopped per Sliding Scale,other_excluded,12,12,12,12,12.0
insulin,Partial Administered,given_strict,9,9,9,9,9.0
insulin,Partial Administered,not_given,7,7,7,7,7.0
insulin,Delayed Stopped,other_excluded,3,3,3,3,3.0
insulin,Flushed,flushed,3,3,3,3,3.0
insulin,Not Given per Sliding Scale,not_given,3,3,3,3,3.0
insulin,Not Given per Sliding Scale in Other Location,other_excluded,3,3,3,3,3.0
insulin,Hold Dose,not_given,1,1,1,1,1.0
intra_abdominal_antibiotics,Administered,given_strict,1155327,56580,86748,276061,1121756.0
intra_abdominal_antibiotics,Started,given_strict,51551,26965,30907,47123,37669.0
intra_abdominal_antibiotics,Stopped,other_excluded,47209,25315,29169,43056,34227.0
intra_abdominal_antibiotics,Not Given,not_given,36384,17158,21487,28998,35575.0
intra_abdominal_antibiotics,Delayed Administered,given_strict,6541,4966,5477,6095,6449.0
intra_abdominal_antibiotics,<NULL>,blank,5045,682,708,1007,4988.0
intra_abdominal_antibiotics,Administered in Other Location,other_excluded,2930,2383,2476,2857,2877.0
intra_abdominal_antibiotics,Hold Dose,other_excluded,2505,2072,2137,2329,2460.0
intra_abdominal_antibiotics,Stopped in Other Location,other_excluded,1845,1705,1630,1839,1535.0
intra_abdominal_antibiotics, in Other Location,other_excluded,1032,953,894,1000,918.0
intra_abdominal_antibiotics,Not Started,other_excluded,857,782,642,835,588.0
intra_abdominal_antibiotics,Not Stopped,other_excluded,396,300,285,302,331.0
intra_abdominal_antibiotics,Documented in O.R. Holding,other_excluded,275,231,188,267,171.0
intra_abdominal_antibiotics,Started in Other Location,other_excluded,140,134,111,140,107.0
intra_abdominal_antibiotics,Delayed Started,other_excluded,96,93,84,94,66.0
intra_abdominal_antibiotics,Delayed ,other_excluded,85,68,69,76,85.0
intra_abdominal_antibiotics,Administered,not_given,76,68,67,72,73.0
