drug_class,event_category,event_txt,complete_dose_not_given,administration_type,reason_for_no_barcode,barcode_type,route,events_n
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,<NULL>,<NULL>,23941
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,3965
electrolyte_replacement,not_given,Not Given,false,Sliding Scale,<NULL>,<NULL>,<NULL>,3935
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,if,<NULL>,3035
electrolyte_replacement,not_given,Partial Administered,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,2468
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,2422
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,iv,<NULL>,1233
electrolyte_replacement,not_given,Partial Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,922
electrolyte_replacement,not_given,Not Given,false,Sliding Scale,<NULL>,iv,<NULL>,578
electrolyte_replacement,not_given,Not Given,false,Sliding Scale,<NULL>,if,<NULL>,351
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,<NULL>,if,PO,221
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,<NULL>,bc,<NULL>,183
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,<NULL>,<NULL>,<NULL>,77
electrolyte_replacement,not_given,Partial Administered,true,Standard Maintenance Medication,<NULL>,if,PO,69
electrolyte_replacement,not_given,Partial Administered,true,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,59
electrolyte_replacement,not_given,Delayed Administered,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,48
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,Barcode Damaged,<NULL>,<NULL>,44
electrolyte_replacement,not_given,Partial Administered,true,Standard Maintenance Medication,Barcode Damaged,<NULL>,<NULL>,43
electrolyte_replacement,not_given,Not Given,true,Standard Maintenance Medication,<NULL>,if,<NULL>,42
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,40
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,___,<NULL>,<NULL>,40
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,Hardware issue: scanner,<NULL>,<NULL>,36
electrolyte_replacement,not_given,Administered,true,Standard Maintenance Medication,<NULL>,bc,<NULL>,34
electrolyte_replacement,not_given,Administered,true,Sliding Scale,<NULL>,iv,<NULL>,34
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,Barcode Damaged,<NULL>,<NULL>,32
electrolyte_replacement,not_given,Not Given,true,Standard Maintenance Medication,<NULL>,iv,<NULL>,31
electrolyte_replacement,not_given,Not Given,false,Standard Maintenance Medication,Discarded Packaging,<NULL>,<NULL>,31
electrolyte_replacement,not_given,Partial Administered,true,Standard Maintenance Medication,___,<NULL>,<NULL>,25
electrolyte_replacement,not_given,Not Given,false,<NULL>,<NULL>,bc,<NULL>,17
electrolyte_replacement,not_given,Delayed Administered,true,Standard Maintenance Medication,<NULL>,if,<NULL>,17
