drug_class,lag_audit_category,orders_n,min_lag_hours,max_lag_hours
electrolyte_replacement,0_to_24h,65885,0.0,23.998333333333335
electrolyte_replacement,24h_to_7d,9164,24.002777777777776,167.98
electrolyte_replacement,negative_minus2_to_0,726,-1.9972222222222222,-0.0005555555555555556
electrolyte_replacement,not_converted,210881,,
electrolyte_replacement,over_7d,569,168.58638888888888,917.3402777777778
insulin,0_to_24h,45987,0.0,23.995555555555555
insulin,24h_to_7d,1738,24.001666666666665,167.05194444444444
insulin,negative_minus2_to_0,935,-1.9925,-0.0008333333333333334
insulin,not_converted,60775,,
insulin,over_7d,40,168.42388888888888,386.01416666666665
intra_abdominal_antibiotics,0_to_24h,50554,0.0033333333333333335,23.975
intra_abdominal_antibiotics,24h_to_7d,726,24.003888888888888,124.89361111111111
intra_abdominal_antibiotics,negative_minus2_to_0,99,-1.906111111111111,-0.003611111111111111
intra_abdominal_antibiotics,not_converted,65275,,
prokinetic,0_to_24h,2341,0.0011111111111111111,22.615555555555556
prokinetic,24h_to_7d,28,24.266666666666666,153.6038888888889
prokinetic,negative_minus2_to_0,10,-1.9527777777777777,-0.021944444444444444
prokinetic,not_converted,7986,,
prokinetic,over_7d,1,319.16305555555556,319.16305555555556
stress_ulcer_prophylaxis,0_to_24h,23575,0.0077777777777777776,24.0
stress_ulcer_prophylaxis,24h_to_7d,432,24.002222222222223,117.68083333333334
stress_ulcer_prophylaxis,negative_minus2_to_0,35,-1.7077777777777778,-0.014444444444444444
stress_ulcer_prophylaxis,not_converted,47577,,
stress_ulcer_prophylaxis,over_7d,4,215.98166666666665,318.72083333333336
vte_prophylaxis,0_to_24h,15616,0.0075,23.988611111111112
vte_prophylaxis,24h_to_7d,500,24.00777777777778,121.9775
vte_prophylaxis,negative_minus2_to_0,16,-0.5911111111111111,-0.015555555555555555
vte_prophylaxis,not_converted,21606,,
