term,beta,cluster_robust_se,z_value,p_value,adjusted_or,ci_low,ci_high
(Intercept),-3.1353831711961,0.0659367869346174,-47.5513490565613,0,0.0434830891695106,0.0382115711770301,0.04948184504018
oasis_z,0.000178282965041555,0.011305936693186,0.0157689689832603,0.987418704522263,1.00017829885839,0.978258874848027,1.02258886193358
oasis_missing_components_n,0.0529303843436912,0.0406879859674533,1.30088484561587,0.1932978740745,1.05435624286258,0.973539769663744,1.14188153530417
shiftnight_1900_0659,-0.0443673288518786,0.00691349887576798,-6.41749274124965,1.38536963174187e-10,0.956602505227774,0.943727766232328,0.969652886935167
invasive_ventilation_active,-0.209390832784779,0.0189775530680043,-11.0336054408303,2.63101343256663e-28,0.811078177746255,0.781464032921511,0.841814572011477
vasopressor_active,0.0832996132577466,0.0200473046753653,4.15515275527825,3.25070290639952e-05,1.08686739965245,1.04499031570609,1.13042267155279
rrt_active,-0.291670485002125,0.0455614214596978,-6.40169853480378,1.5365783664633e-10,0.747014647952469,0.683198911226152,0.816791237641232
drug_classinsulin,2.9418049814033,0.024440563688318,120.365676459803,0,18.9500198951392,18.0636630987943,19.8798688871771
drug_classintra_abdominal_antibiotics,-0.664266495459524,0.0270800445121225,-24.5297416391676,7.11618780711335e-133,0.514650888055097,0.488047565592241,0.542704349430549
drug_classprokinetic,0.410389985347789,0.0650500612361403,6.30883319014903,2.81146931361144e-10,1.50740553657061,1.32696477231032,1.71238264880807
drug_classstress_ulcer_prophylaxis,0.0638722470114965,0.0259032888679009,2.46579680816695,0.0136708860505068,1.06595621097093,1.01318895071291,1.12147160991835
drug_classvte_prophylaxis,-0.143579175345321,0.0329496796369275,-4.3575287203827,1.31539242131052e-05,0.866252211654028,0.812077613113715,0.924040857767639
age_at_icu,-0.00280700848047517,0.000714395115989552,-3.92921006547898,8.52253655491897e-05,0.997196927484206,0.995801640676959,0.99859416932466
genderM,-0.0899950403005108,0.0199975264891038,-4.5003085931426,6.78548815022253e-06,0.913935718106502,0.878807440367655,0.950468166816388
emergency_admission,0.0233047551934916,0.0206278453230649,1.12977166681745,0.258572449897628,1.02357843286261,0.98302072197302,1.0658094837702
first_careunitCoronary Care Unit (CCU),0.362821589863142,0.0344273189021125,10.5387698326075,5.72427536830584e-26,1.43737939330955,1.34359019978338,1.53771553308742
first_careunitIntensive Care Unit (ICU),0.0623215431395663,0.235509939549863,0.264623833960823,0.791299257634781,1.06430450952816,0.670809922985505,1.68862154566914
first_careunitMedical Intensive Care Unit (MICU),0.24727592711901,0.0308293381359642,8.02079908522422,1.05059448552001e-15,1.28053239765087,1.20544830452629,1.36029327452401
first_careunitMedical/Surgical Intensive Care Unit (MICU/SICU),0.172774544711843,0.0381900569116581,4.52407141239689,6.0661241551576e-06,1.18859809914654,1.10287831087689,1.28098034693556
first_careunitMedicine,-0.895256798005924,0.225658832849066,-3.9673022620157,7.2690778306292e-05,0.408502682496017,0.262490606281927,0.635734908651211
first_careunitMedicine/Cardiology Intermediate,-1.09403555326174,0.0396039335434626,-27.624416449975,5.66499476069319e-168,0.334862408218641,0.309852829848485,0.361890619145933
first_careunitNeuro Intermediate,0.744100322211096,0.037139251804923,20.0354149868055,2.70574631926813e-89,2.10454716865049,1.95679655664147,2.26345389358038
first_careunitNeuro Stepdown,0.864153348264781,0.0773276885002713,11.1752124630203,5.39211850755738e-29,2.37299613393802,2.03927400333317,2.76133106315326
first_careunitNeuro Surgical Intensive Care Unit (Neuro SICU),0.61965235049302,0.0516395884344716,11.9995602071719,3.57189341260409e-33,1.85828189875126,1.67940676836118,2.0562091806956
first_careunitNeurology,-0.593992679833446,0.032908616136621,-18.0497617209873,7.92317999106564e-73,0.55211844589112,0.517631136415594,0.588903481355651
first_careunitPACU,0.691005010335734,0.143108619707768,4.82853521854092,1.37541011376397e-06,1.99572024516987,1.50759741811725,2.64188519369774
first_careunitSurgery/Trauma,0.21332817633361,0.100428446073027,2.12418079413962,0.0336550285726474,1.23779079824198,1.01662878337937,1.50706539620056
first_careunitSurgery/Vascular/Intermediate,-0.206105562220972,0.0956968072847112,-2.15373498937932,0.0312609605425557,0.813747170790155,0.674578074790511,0.981627602075003
first_careunitSurgical Intensive Care Unit (SICU),0.690685322002501,0.0382008268638631,18.0803762301771,4.54967121066508e-73,1.99508233866216,1.8511611246758,2.15019291675043
first_careunitTrauma SICU (TSICU),0.805294972278602,0.0356483769309932,22.5899477509863,5.44119845634849e-113,2.23735635959832,2.08636942327334,2.39926995861616
anchor_era2014-2019,0.119904688478601,0.0246265751280155,4.86891448994856,1.12212948151539e-06,1.12738939326017,1.07426583938747,1.1831399616693
anchor_era2020-2022,0.0393812059742941,0.0290717649575004,1.35462040340052,0.175538529428874,1.0401669259287,0.982555541242867,1.10115630962436
