term,beta,cluster_robust_se,z_value,p_value,adjusted_or,ci_low,ci_high
(Intercept),-2.84684677108102,0.0657019499459935,-43.329715075749,0,0.0580270051314935,0.051015782839632,0.0660017966423245
oasis_z,-0.0439810751231365,0.00908458784579372,-4.84128458766573,1.29002466870433e-06,0.956972067880224,0.940083535498214,0.974164001518875
oasis_missing_components_n,0.0834825123570385,0.0320898057287163,2.60152750885407,0.00928096214458981,1.08706620490099,1.02080103636719,1.15763296836305
shiftnight_1900_0659,-0.216508308712956,0.010757294808902,-20.1266501066595,4.31176081912836e-90,0.805325843673603,0.788524170631203,0.822485522503951
invasive_ventilation_active,-0.225627345305314,0.0177611106080582,-12.7034480154043,5.65807897914954e-37,0.79801543045834,0.770713567349311,0.826284438510449
vasopressor_active,0.207091479662742,0.0186956288215899,11.0769999575297,1.62217220057952e-28,1.23009509531833,1.18583684125923,1.27600517278534
rrt_active,-0.342493154987999,0.0447677812560143,-7.65043844878927,2.00295194564164e-14,0.709997979313607,0.65035533650448,0.775110316367693
drug_classinsulin,1.44490744934486,0.0283790780606514,50.9145309885269,0,4.2414595747921,4.01198238066604,4.48406239551057
drug_classintra_abdominal_antibiotics,-0.277229473214724,0.0317932146655215,-8.71976854593975,2.7877105506199e-18,0.757880563865394,0.712095655549659,0.806609259034963
drug_classprokinetic,0.731158029800628,0.0665431272369698,10.9877317186622,4.37790239734432e-28,2.07748500476956,1.82346018564496,2.36689782371959
drug_classstress_ulcer_prophylaxis,0.400511655689049,0.0302036941899831,13.2603532922101,3.93039768362474e-40,1.49258819354174,1.406794205767,1.58361436688287
drug_classvte_prophylaxis,0.344418825087116,0.036880439583239,9.33879392380247,9.74376713128911e-21,1.41116954496279,1.31276354533174,1.51695215159808
age_at_icu,-0.00256132328453841,0.000673810497930627,-3.80125167596026,0.000143966977476895,0.997441954105197,0.996125557502767,0.998760090347777
genderM,-0.0676210596859718,0.0167606531904083,-4.03451219458856,5.47158486005473e-05,0.934614569620851,0.904411035810976,0.965826774730038
emergency_admission,-0.0215457405403489,0.0169903958212428,-1.26811292491554,0.204757626509261,0.978684710877825,0.946630629704558,1.01182418279128
first_careunitCoronary Care Unit (CCU),-0.00826567431250478,0.0292471440563663,-0.28261475023253,0.777472172062457,0.991768392447218,0.93651567132017,1.05028092361849
first_careunitIntensive Care Unit (ICU),-0.101738409367443,0.189409282651631,-0.537135286841061,0.591174167926271,0.903265806640212,0.623146408801599,1.30930565581605
first_careunitMedical Intensive Care Unit (MICU),-0.189081957737055,0.0273794561681919,-6.90597930709527,4.98582660630229e-12,0.827718665965955,0.784471759344633,0.873349718236925
first_careunitMedical/Surgical Intensive Care Unit (MICU/SICU),-0.143215059901275,0.0317864984268029,-4.5055311842878,6.62071148435037e-06,0.866567684893583,0.814227513016282,0.922272387627864
first_careunitMedicine,-0.953777130657405,0.111195005961535,-8.57751768984423,9.69424748683987e-18,0.385283007370385,0.30983501352874,0.479103359164405
first_careunitMedicine/Cardiology Intermediate,-0.161558884316531,0.0345049597000293,-4.68219310270326,2.83821921681306e-06,0.850816430246311,0.795179532629037,0.91034611464878
first_careunitNeuro Intermediate,-0.32256961507528,0.0328318971065294,-9.82488505091984,8.79743383828444e-23,0.724285508861614,0.679146136846483,0.772425064188369
first_careunitNeuro Stepdown,-0.00454704774614532,0.0629859179242252,-0.072191497655327,0.942449511408354,0.995463274424397,0.879855861732919,1.126260759093
first_careunitNeuro Surgical Intensive Care Unit (Neuro SICU),-0.165100362897538,0.0448174789535103,-3.68383868866873,0.0002297476661098,0.847808611289121,0.776513688937512,0.925649414319377
first_careunitNeurology,-1.41010760586967,0.0273590759285152,-51.5407614480126,0,0.244117013316549,0.23137155224865,0.257564577889631
first_careunitPACU,-0.317014518854419,0.119777482105795,-2.64669546630152,0.00812825148527422,0.728320180674264,0.575927168451984,0.921037093983901
first_careunitSurgery/Trauma,-0.464487985049679,0.224860118006449,-2.06567527033121,0.0388591518615152,0.628456802104106,0.404458672154737,0.976510035022361
first_careunitSurgery/Vascular/Intermediate,-0.793967786520101,0.0850803876167075,-9.33197190046873,1.0391923319515e-20,0.452047603815269,0.382616429172409,0.534078049280646
first_careunitSurgical Intensive Care Unit (SICU),0.0444776838165752,0.0296954671902711,1.49779370472902,0.134186856921397,1.04548164528996,0.986369387305973,1.108136449392
first_careunitTrauma SICU (TSICU),-0.216504065242736,0.0302531922086816,-7.15640398372924,8.28208407147307e-13,0.805329261057089,0.758965291114456,0.854525531414521
anchor_era2014-2019,0.00286629011157211,0.0203823063377543,0.140626387616541,0.888165101083641,1.00287040184861,0.963596831697208,1.04374465525436
anchor_era2020-2022,-0.122661597492721,0.0236817995646694,-5.17957248805188,2.22394982134665e-07,0.884562950238322,0.844443818133207,0.926588123605513
