dimension,level,decision_events_n,not_given_n,not_given_pct
invasive_ventilation_active,0,619465,44381.0,7.164407997223411
invasive_ventilation_active,1,381029,19582.0,5.139241370079443
oasis_quartile,1,250124,18035.0,7.210423629879579
oasis_quartile,2,250124,16640.0,6.6527002606707075
oasis_quartile,3,250123,15623.0,6.246126905562463
oasis_quartile,4,250123,13665.0,5.463312050471168
rrt_active,0,940756,61081.0,6.492756889140224
rrt_active,1,59738,2882.0,4.8243998794737015
shift,day_0700_1859,577782,41213.0,7.132967105240384
shift,night_1900_0659,422712,22750.0,5.381914873483601
vasopressor_active,0,786250,50880.0,6.4712241653418126
vasopressor_active,1,214244,13083.0,6.106588749276526
