anchor_id,model_variant,exposure_definition,effect_measure,n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error,model_warnings
A1,published_style_minimal,order,OR,49114,6057,14965,0.887914098791209,0.0284931848417359,2.43005550533008,2.29806733990109,2.56962433452414,3.45255375719137e-213,TRUE,,""
A1,published_style_minimal,administration,OR,49114,6057,6581,0.763161860339791,0.0361209597814076,2.14504785110752,1.99843840900167,2.30241285536519,4.40242785161289e-99,TRUE,,""
A1,enriched,order,OR,49114,6057,14965,0.760585188268065,0.0318700991255876,2.13952788084769,2.00997230184253,2.27743414609663,7.04770170560216e-126,TRUE,,""
A1,enriched,administration,OR,49114,6057,6581,0.751110376413673,0.0407579724789891,2.11935198904457,1.95663511195361,2.29560065953354,7.75319130816417e-76,TRUE,,""
A2,published_style_minimal,order,HR,6625,2591,1678,0.660871953609992,0.0414534394876394,1.93648011929072,1.78536826553937,2.10038193508236,3.21179465507163e-57,TRUE,,""
A2,published_style_minimal,administration,HR,6625,2591,1103,0.208162928020439,0.0521263256029779,1.23141378501582,1.11181877140605,1.36387327586609,6.51238069781288e-05,TRUE,,""
A2,enriched,order,HR,6625,2591,1678,0.411851123510397,0.0432709355860519,1.5096096742093,1.3868592361467,1.64322471168605,1.76608381989618e-21,TRUE,,""
A2,enriched,administration,HR,6625,2591,1103,0.0736331168479978,0.0528243249338977,1.07641181568331,0.970541944793517,1.19383031630759,0.16334042714044,TRUE,,""
A2,landmark_48h_minimal,order,HR,6000,2023,1452,0.697074581585193,0.0470869877419136,2.00787024674186,1.83085996274525,2.20199415017311,1.38076131312008e-49,TRUE,,""
A2,landmark_48h_minimal,administration,HR,6000,2023,1029,0.338125392530079,0.0570978532840887,1.40231633237416,1.25384603616961,1.56836727900881,3.18323988113322e-09,TRUE,,""
A2,landmark_48h_enriched,order,HR,6000,2023,1452,0.524700137301433,0.0492404198164491,1.68995201882044,1.53447865954985,1.86117793697638,1.63684414839213e-26,TRUE,,""
A2,landmark_48h_enriched,administration,HR,6000,2023,1029,0.243868201033083,0.0577865812298462,1.27617612071045,1.13952166589469,1.42921853951136,2.44136816816236e-05,TRUE,,""
