role,medication_class,level,fhir_definition,native_exposed_units_n,fhir_exposed_units_n,intersection_n,native_only_n,fhir_only_n,jaccard
request,stress_ulcer_prophylaxis,subject,fhir_primary_status,85,77,77,8,0,0.905882353
request,stress_ulcer_prophylaxis,encounter,fhir_primary_status,164,149,146,18,3,0.874251497
request,vte_prophylaxis,subject,fhir_primary_status,88,86,86,2,0,0.977272727
request,vte_prophylaxis,encounter,fhir_primary_status,183,180,179,4,1,0.972826087
request,intra_abdominal_antibiotics,subject,fhir_primary_status,58,46,45,13,1,0.762711864
request,intra_abdominal_antibiotics,encounter,fhir_primary_status,117,87,82,35,5,0.672131148
request,electrolyte_replacement,subject,fhir_primary_status,91,83,82,9,1,0.891304348
request,electrolyte_replacement,encounter,fhir_primary_status,174,157,147,27,10,0.798913043
request,prokinetic,subject,fhir_primary_status,20,20,20,0,0,1.0
request,prokinetic,encounter,fhir_primary_status,21,21,21,0,0,1.0
request,insulin,subject,fhir_primary_status,66,66,65,1,1,0.970149254
request,insulin,encounter,fhir_primary_status,134,142,132,2,10,0.916666667
dispense,stress_ulcer_prophylaxis,subject,fhir_primary_status,85,85,85,0,0,1.0
dispense,stress_ulcer_prophylaxis,encounter,fhir_primary_status,164,164,164,0,0,1.0
dispense,vte_prophylaxis,subject,fhir_primary_status,88,88,88,0,0,1.0
dispense,vte_prophylaxis,encounter,fhir_primary_status,183,183,183,0,0,1.0
dispense,intra_abdominal_antibiotics,subject,fhir_primary_status,58,58,58,0,0,1.0
dispense,intra_abdominal_antibiotics,encounter,fhir_primary_status,117,117,117,0,0,1.0
dispense,electrolyte_replacement,subject,fhir_primary_status,91,91,91,0,0,1.0
dispense,electrolyte_replacement,encounter,fhir_primary_status,174,174,174,0,0,1.0
dispense,prokinetic,subject,fhir_primary_status,20,20,20,0,0,1.0
dispense,prokinetic,encounter,fhir_primary_status,21,21,21,0,0,1.0
dispense,insulin,subject,fhir_primary_status,66,66,66,0,0,1.0
dispense,insulin,encounter,fhir_primary_status,134,134,134,0,0,1.0
administration,stress_ulcer_prophylaxis,subject,fhir_primary_status,52,52,52,0,0,1.0
administration,stress_ulcer_prophylaxis,subject,fhir_source_semantic_extension,52,52,52,0,0,1.0
administration,stress_ulcer_prophylaxis,encounter,fhir_primary_status,102,102,102,0,0,1.0
administration,stress_ulcer_prophylaxis,encounter,fhir_source_semantic_extension,102,102,102,0,0,1.0
administration,vte_prophylaxis,subject,fhir_primary_status,54,54,54,0,0,1.0
administration,vte_prophylaxis,subject,fhir_source_semantic_extension,54,52,52,2,0,0.962962963
administration,vte_prophylaxis,encounter,fhir_primary_status,103,105,103,0,2,0.980952381
administration,vte_prophylaxis,encounter,fhir_source_semantic_extension,103,98,98,5,0,0.951456311
administration,intra_abdominal_antibiotics,subject,fhir_primary_status,38,34,34,4,0,0.894736842
administration,intra_abdominal_antibiotics,subject,fhir_source_semantic_extension,38,34,34,4,0,0.894736842
administration,intra_abdominal_antibiotics,encounter,fhir_primary_status,73,61,61,12,0,0.835616438
administration,intra_abdominal_antibiotics,encounter,fhir_source_semantic_extension,73,61,61,12,0,0.835616438
administration,electrolyte_replacement,subject,fhir_primary_status,48,48,48,0,0,1.0
administration,electrolyte_replacement,subject,fhir_source_semantic_extension,48,48,48,0,0,1.0
administration,electrolyte_replacement,encounter,fhir_primary_status,96,100,96,0,4,0.96
administration,electrolyte_replacement,encounter,fhir_source_semantic_extension,96,96,96,0,0,1.0
administration,prokinetic,subject,fhir_primary_status,5,5,5,0,0,1.0
administration,prokinetic,subject,fhir_source_semantic_extension,5,5,5,0,0,1.0
administration,prokinetic,encounter,fhir_primary_status,5,5,5,0,0,1.0
administration,prokinetic,encounter,fhir_source_semantic_extension,5,5,5,0,0,1.0
administration,insulin,subject,fhir_primary_status,35,34,34,1,0,0.971428571
administration,insulin,subject,fhir_source_semantic_extension,35,34,34,1,0,0.971428571
administration,insulin,encounter,fhir_primary_status,84,82,82,2,0,0.976190476
administration,insulin,encounter,fhir_source_semantic_extension,84,82,82,2,0,0.976190476
