role,representation,medication_class,metadata_dimension,records_n,available_n,available_pct
request,native,stress_ulcer_prophylaxis,route,326,326,100.0
request,native,stress_ulcer_prophylaxis,dose,326,326,100.0
request,native,stress_ulcer_prophylaxis,unit,326,326,100.0
request,native,stress_ulcer_prophylaxis,frequency,326,0,0.0
request,native,stress_ulcer_prophylaxis,status,326,0,0.0
request,native,stress_ulcer_prophylaxis,subject,326,326,100.0
request,native,stress_ulcer_prophylaxis,encounter,326,326,100.0
request,native,stress_ulcer_prophylaxis,event_time,326,326,100.0
request,fhir,stress_ulcer_prophylaxis,route,262,222,84.732824
request,fhir,stress_ulcer_prophylaxis,dose,262,222,84.732824
request,fhir,stress_ulcer_prophylaxis,unit,262,222,84.732824
request,fhir,stress_ulcer_prophylaxis,frequency,262,5,1.908397
request,fhir,stress_ulcer_prophylaxis,status,262,262,100.0
request,fhir,stress_ulcer_prophylaxis,subject,262,262,100.0
request,fhir,stress_ulcer_prophylaxis,encounter,262,262,100.0
request,fhir,stress_ulcer_prophylaxis,event_time,262,262,100.0
request,native,vte_prophylaxis,route,469,469,100.0
request,native,vte_prophylaxis,dose,469,469,100.0
request,native,vte_prophylaxis,unit,469,469,100.0
request,native,vte_prophylaxis,frequency,469,0,0.0
request,native,vte_prophylaxis,status,469,0,0.0
request,native,vte_prophylaxis,subject,469,469,100.0
request,native,vte_prophylaxis,encounter,469,469,100.0
request,native,vte_prophylaxis,event_time,469,469,100.0
request,fhir,vte_prophylaxis,route,431,365,84.686775
request,fhir,vte_prophylaxis,dose,431,277,64.269142
request,fhir,vte_prophylaxis,unit,431,277,64.269142
request,fhir,vte_prophylaxis,frequency,431,28,6.49652
request,fhir,vte_prophylaxis,status,431,431,100.0
request,fhir,vte_prophylaxis,subject,431,431,100.0
request,fhir,vte_prophylaxis,encounter,431,431,100.0
request,fhir,vte_prophylaxis,event_time,431,431,100.0
request,native,intra_abdominal_antibiotics,route,457,457,100.0
request,native,intra_abdominal_antibiotics,dose,457,457,100.0
request,native,intra_abdominal_antibiotics,unit,457,457,100.0
request,native,intra_abdominal_antibiotics,frequency,457,0,0.0
request,native,intra_abdominal_antibiotics,status,457,0,0.0
request,native,intra_abdominal_antibiotics,subject,457,457,100.0
request,native,intra_abdominal_antibiotics,encounter,457,457,100.0
request,native,intra_abdominal_antibiotics,event_time,457,457,100.0
request,fhir,intra_abdominal_antibiotics,route,160,93,58.125
request,fhir,intra_abdominal_antibiotics,dose,160,93,58.125
request,fhir,intra_abdominal_antibiotics,unit,160,93,58.125
request,fhir,intra_abdominal_antibiotics,frequency,160,21,13.125
request,fhir,intra_abdominal_antibiotics,status,160,160,100.0
request,fhir,intra_abdominal_antibiotics,subject,160,160,100.0
request,fhir,intra_abdominal_antibiotics,encounter,160,160,100.0
request,fhir,intra_abdominal_antibiotics,event_time,160,160,100.0
request,native,electrolyte_replacement,route,1647,1647,100.0
request,native,electrolyte_replacement,dose,1647,1647,100.0
request,native,electrolyte_replacement,unit,1647,1647,100.0
request,native,electrolyte_replacement,frequency,1647,0,0.0
request,native,electrolyte_replacement,status,1647,0,0.0
request,native,electrolyte_replacement,subject,1647,1647,100.0
request,native,electrolyte_replacement,encounter,1647,1647,100.0
request,native,electrolyte_replacement,event_time,1647,1647,100.0
request,fhir,electrolyte_replacement,route,694,644,92.795389
request,fhir,electrolyte_replacement,dose,694,641,92.363112
request,fhir,electrolyte_replacement,unit,694,641,92.363112
request,fhir,electrolyte_replacement,frequency,694,338,48.70317
request,fhir,electrolyte_replacement,status,694,694,100.0
request,fhir,electrolyte_replacement,subject,694,694,100.0
request,fhir,electrolyte_replacement,encounter,694,694,100.0
request,fhir,electrolyte_replacement,event_time,694,694,100.0
request,native,prokinetic,route,33,33,100.0
request,native,prokinetic,dose,33,33,100.0
request,native,prokinetic,unit,33,33,100.0
request,native,prokinetic,frequency,33,0,0.0
request,native,prokinetic,status,33,0,0.0
request,native,prokinetic,subject,33,33,100.0
request,native,prokinetic,encounter,33,33,100.0
request,native,prokinetic,event_time,33,33,100.0
request,fhir,prokinetic,route,36,33,91.666667
request,fhir,prokinetic,dose,36,33,91.666667
request,fhir,prokinetic,unit,36,33,91.666667
request,fhir,prokinetic,frequency,36,4,11.111111
request,fhir,prokinetic,status,36,36,100.0
request,fhir,prokinetic,subject,36,36,100.0
request,fhir,prokinetic,encounter,36,36,100.0
request,fhir,prokinetic,event_time,36,36,100.0
request,native,insulin,route,971,971,100.0
request,native,insulin,dose,971,968,99.69104
request,native,insulin,unit,971,968,99.69104
request,native,insulin,frequency,971,0,0.0
request,native,insulin,status,971,0,0.0
request,native,insulin,subject,971,971,100.0
request,native,insulin,encounter,971,971,100.0
request,native,insulin,event_time,971,971,100.0
request,fhir,insulin,route,1143,930,81.364829
request,fhir,insulin,dose,1143,921,80.577428
request,fhir,insulin,unit,1143,921,80.577428
request,fhir,insulin,frequency,1143,99,8.661417
request,fhir,insulin,status,1143,1143,100.0
request,fhir,insulin,subject,1143,1143,100.0
request,fhir,insulin,encounter,1143,1143,100.0
request,fhir,insulin,event_time,1143,1143,100.0
dispense,native,stress_ulcer_prophylaxis,route,326,326,100.0
dispense,native,stress_ulcer_prophylaxis,dose,326,0,0.0
