role,medication_class,native_records_n,fhir_records_n,native_exposed_n,native_unexposed_n,native_unresolved_n,fhir_primary_exposed_n,fhir_primary_unexposed_n,fhir_primary_unresolved_n,fhir_method_exposed_n,fhir_method_unexposed_n,fhir_method_unresolved_n
request,stress_ulcer_prophylaxis,326,262,326,0,0,262,0,0,not_applicable,not_applicable,not_applicable
request,vte_prophylaxis,469,431,469,0,0,431,0,0,not_applicable,not_applicable,not_applicable
request,intra_abdominal_antibiotics,457,160,457,0,0,160,0,0,not_applicable,not_applicable,not_applicable
request,electrolyte_replacement,1647,694,1647,0,0,694,0,0,not_applicable,not_applicable,not_applicable
request,prokinetic,33,36,33,0,0,36,0,0,not_applicable,not_applicable,not_applicable
request,insulin,971,1143,971,0,0,1143,0,0,not_applicable,not_applicable,not_applicable
dispense,stress_ulcer_prophylaxis,326,326,326,0,0,326,0,0,not_applicable,not_applicable,not_applicable
dispense,vte_prophylaxis,469,469,469,0,0,469,0,0,not_applicable,not_applicable,not_applicable
dispense,intra_abdominal_antibiotics,457,457,457,0,0,457,0,0,not_applicable,not_applicable,not_applicable
dispense,electrolyte_replacement,1614,1614,1614,0,0,1614,0,0,not_applicable,not_applicable,not_applicable
dispense,prokinetic,33,33,33,0,0,33,0,0,not_applicable,not_applicable,not_applicable
dispense,insulin,971,971,971,0,0,971,0,0,not_applicable,not_applicable,not_applicable
administration,stress_ulcer_prophylaxis,975,996,948,21,6,996,0,0,995,0,1
administration,vte_prophylaxis,1951,1883,1387,73,491,1883,0,0,1370,13,500
administration,intra_abdominal_antibiotics,1191,807,1106,43,42,807,0,0,749,3,55
administration,electrolyte_replacement,786,1343,617,32,137,1343,0,0,1014,10,319
administration,prokinetic,73,66,66,7,0,66,0,0,66,0,0
administration,insulin,2877,1602,1572,253,1052,1602,0,0,1546,10,46
